 ,Label,Area,Mean,Min,Max,Angle,Length
1,BENI_1251-79_A_II.tif:02458-00811,1.570E-5,165.830,116.011,199.943,-89.012,0.135
2,BENI_1251-79_A_II.tif:03924-00900,2.381E-5,164.716,138.958,197.563,-88.893,0.205
3,BENI_1251-79_A_II.tif:04884-00932,2.015E-6,154.465,138.126,173.392,-90.774,0.017
4,BENI_1251-79_A_II.tif:05322-00958,9.911E-6,161.066,133.085,197.066,-90.157,0.085
5,BENI_1251-79_A_II.tif:06519-00971,2.254E-5,158.244,128.882,198.546,-90.963,0.194
6,BENI_1251-79_A_II.tif:07726-00982,1.003E-5,152.301,126.968,194.728,-92.631,0.086
7,BENI_1251-79_A_II.tif:08788-01013,1.843E-5,149.207,123.970,188.978,-93.198,0.158
8,BENI_1251-79_A_II.tif:10133-00984,1.794E-5,141.139,115.373,189.915,-91.123,0.154
9,BENI_1251-79_A_II.tif:11354-01023,1.528E-5,148.500,103.337,191.864,-87.766,0.131
10,BENI_1251-79_A_II.tif:12176-01067,7.261E-6,144.110,116.000,184.940,-89.145,0.062
11,BENI_1251-79_A_II.tif:12526-01090,2.285E-6,144.303,123.857,181.663,-89.318,0.020
12,BENI_1251-79_A_II.tif:13362-01089,2.042E-5,144.843,118.981,190.658,-87.873,0.175
13,BENI_1251-79_A_II.tif:14884-01169,2.090E-5,142.015,114.127,176.837,-88.071,0.180
14,BENI_1251-79_A_II.tif:16778-01079,3.039E-5,146.744,103.816,186.145,-93.061,0.261
15,BENI_1251-79_A_II.tif:19222-01058,3.545E-5,142.760,116.420,183.743,-93.544,0.305
16,BENI_1251-79_A_II.tif:20968-01051,1.201E-5,144.845,121.722,181.788,-94.721,0.103
17,BENI_1251-79_A_II.tif:21973-00997,1.545E-5,142.424,116.667,180.739,-95.731,0.133
18,BENI_1251-79_A_II.tif:23131-01058,2.700E-5,137.603,117.683,178.616,-96.328,0.232
19,BENI_1251-79_A_II.tif:26383-01092,4.880E-5,140.187,115.750,182.205,-92.669,0.420
20,BENI_1251-79_A_II.tif:29378-01062,3.238E-5,141.290,113.628,185.488,-91.053,0.278
21,BENI_1251-79_A_II.tif:31489-01117,2.462E-5,140.666,107.243,181.941,-89.811,0.212
22,BENI_1251-79_A_II.tif:33996-01200,4.316E-5,141.063,116.239,186.895,-88.922,0.371
23,BENI_1251-79_A_II.tif:36409-01256,2.220E-5,138.701,116.784,176.585,-92.235,0.191
24,BENI_1251-79_A_II.tif:38275-01262,2.814E-5,137.911,111.256,178.077,-89.339,0.242
25,BENI_1251-79_A_II.tif:40519-01328,3.252E-5,135.949,115.218,182.653,-89.357,0.280
26,BENI_1251-79_A_II.tif:41989-01349,7.207E-6,142.624,119.702,171.386,-90.862,0.062
27,BENI_1251-79_A_II.tif:42954-01395,1.904E-5,136.032,116.589,179.534,-91.792,0.164
