 ,Label,Area,Mean,Min,Max,Angle,Length
1,BENI_1251-79_B_II.tif:02670-01070,9.045E-6,159.265,126.419,190.578,-79.127,0.078
2,BENI_1251-79_B_II.tif:03681-01140,1.852E-5,164.901,144.436,194.412,-79.092,0.159
3,BENI_1251-79_B_II.tif:04877-01115,1.298E-5,162.611,138.056,191.741,-76.804,0.112
4,BENI_1251-79_B_II.tif:05686-01154,9.221E-6,162.590,138.349,200.624,-76.576,0.079
5,BENI_1251-79_B_II.tif:06300-01227,7.234E-6,160.234,135.245,193.239,-71.226,0.062
6,BENI_1251-79_B_II.tif:07088-01107,1.161E-5,163.701,137.381,195.426,-73.128,0.100
7,BENI_1251-79_B_II.tif:08238-01094,1.686E-5,157.206,129.667,189.271,-72.190,0.145
8,BENI_1251-79_B_II.tif:09202-01062,7.153E-6,157.379,137.271,174.676,-68.924,0.061
9,BENI_1251-79_B_II.tif:09634-01118,4.002E-6,155.474,126.703,187.950,-64.737,0.034
10,BENI_1251-79_B_II.tif:10194-01147,1.019E-5,155.590,126.343,187.641,-69.471,0.088
11,BENI_1251-79_B_II.tif:11237-01171,1.537E-5,155.674,121.558,194.527,-69.810,0.132
12,BENI_1251-79_B_II.tif:12765-01135,2.067E-5,154.318,125.394,188.496,-68.338,0.178
13,BENI_1251-79_B_II.tif:14790-01063,2.939E-5,150.257,122.925,187.899,-73.584,0.253
14,BENI_1251-79_B_II.tif:16735-01146,2.073E-5,154.432,129.410,188.067,-74.240,0.178
15,BENI_1251-79_B_II.tif:18229-01189,1.882E-5,159.638,126.795,199.943,-76.783,0.162
16,BENI_1251-79_B_II.tif:20261-01208,3.437E-5,152.364,124.074,185.943,-78.469,0.295
17,BENI_1251-79_B_II.tif:23054-01274,3.974E-5,149.379,126.842,184.908,-79.884,0.342
18,BENI_1251-79_B_II.tif:26092-01440,4.144E-5,154.001,127.219,192.697,-83.404,0.356
19,BENI_1251-79_B_II.tif:29270-01369,4.144E-5,147.921,121.952,194.615,-78.287,0.356
20,BENI_1251-79_B_II.tif:31966-01334,2.843E-5,146.110,115.552,193.158,-80.358,0.244
21,BENI_1251-79_B_II.tif:34364-01299,3.567E-5,141.880,115.181,184.892,-85.171,0.307
22,BENI_1251-79_B_II.tif:37352-01613,4.562E-5,146.856,120.470,193.926,-84.249,0.392
23,BENI_1251-79_B_II.tif:39669-01547,1.556E-5,148.045,121.844,187.952,-83.308,0.134
24,BENI_1251-79_B_II.tif:41244-01582,2.691E-5,151.014,116.626,199.299,-87.926,0.231
