 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAOV_12907_D_I.tif:03011-00980,5.598E-6,152.634,131.667,182.961,-79.125,0.048
2,CAOV_12907_D_I.tif:03429-01040,5.719E-6,154.918,108.375,175.491,101.203,0.049
3,CAOV_12907_D_I.tif:03844-01103,5.652E-6,159.095,132.821,186.017,-77.829,0.049
4,CAOV_12907_D_I.tif:04284-01132,6.274E-6,162.242,139.038,187.111,-80.293,0.054
5,CAOV_12907_D_I.tif:04776-01147,6.990E-6,157.174,136.333,185.667,-90.000,0.060
6,CAOV_12907_D_I.tif:05258-01139,6.206E-6,158.859,133.718,183.205,-80.949,0.053
7,CAOV_12907_D_I.tif:05647-01149,4.421E-6,161.802,138.941,182.000,-80.826,0.038
8,CAOV_12907_D_I.tif:05975-01184,4.570E-6,152.169,133.717,177.459,-78.024,0.039
9,CAOV_12907_D_I.tif:06317-01222,4.651E-6,158.127,131.700,187.492,-76.855,0.040
10,CAOV_12907_D_I.tif:06731-01187,5.949E-6,165.081,136.590,198.770,-75.774,0.051
11,CAOV_12907_D_I.tif:07128-01258,4.908E-6,159.298,132.266,191.128,-74.272,0.042
12,CAOV_12907_D_I.tif:07566-01247,6.409E-6,166.825,122.665,191.431,-74.787,0.055
13,CAOV_12907_D_I.tif:08038-01239,5.800E-6,160.549,143.609,189.305,-74.275,0.050
14,CAOV_12907_D_I.tif:08443-01209,4.475E-6,162.124,135.636,186.458,-74.532,0.038
15,CAOV_12907_D_I.tif:08766-01273,4.218E-6,169.981,140.213,190.764,-72.031,0.036
16,CAOV_12907_D_I.tif:09129-01283,5.246E-6,163.976,142.649,184.100,-75.030,0.045
17,CAOV_12907_D_I.tif:09574-01238,5.530E-6,160.148,126.949,195.554,-72.009,0.047
18,CAOV_12907_D_I.tif:09959-01245,4.340E-6,170.957,140.540,193.201,-73.266,0.037
19,CAOV_12907_D_I.tif:10351-01306,6.531E-6,150.407,126.888,171.516,-73.369,0.056
20,CAOV_12907_D_I.tif:10794-01309,4.381E-6,159.703,138.083,178.405,-74.932,0.038
21,CAOV_12907_D_I.tif:11268-01371,8.072E-6,162.712,133.348,193.149,-75.217,0.069
22,CAOV_12907_D_I.tif:11857-01324,5.949E-6,156.641,133.881,193.372,-76.027,0.051
