 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAOV_12907_D_II.tif:02623-00993,5.652E-6,160.098,142.347,180.516,-75.564,0.049
2,CAOV_12907_D_II.tif:02981-01010,3.962E-6,179.956,144.187,209.099,-76.154,0.034
3,CAOV_12907_D_II.tif:03317-01017,4.651E-6,162.124,145.457,175.563,-78.559,0.040
4,CAOV_12907_D_II.tif:03637-01000,3.583E-6,169.407,156.667,180.045,-79.967,0.031
5,CAOV_12907_D_II.tif:03946-01015,4.732E-6,167.775,144.169,191.135,-82.753,0.041
6,CAOV_12907_D_II.tif:04274-01014,4.191E-6,168.050,152.450,185.575,-81.451,0.036
7,CAOV_12907_D_II.tif:04557-01020,3.448E-6,163.317,150.667,182.618,-82.316,0.030
8,CAOV_12907_D_II.tif:04800-01063,3.259E-6,183.954,161.815,204.970,-83.290,0.028
9,CAOV_12907_D_II.tif:05066-01064,3.718E-6,169.199,146.663,193.283,-80.331,0.032
10,CAOV_12907_D_II.tif:05350-01092,3.935E-6,172.308,152.487,184.379,-80.083,0.034
11,CAOV_12907_D_II.tif:05634-01127,3.880E-6,170.175,143.744,199.189,-79.946,0.033
12,CAOV_12907_D_II.tif:05942-01145,4.354E-6,167.388,147.265,181.893,-77.607,0.037
13,CAOV_12907_D_II.tif:06277-01146,4.381E-6,165.447,146.935,184.485,-82.347,0.038
14,CAOV_12907_D_II.tif:06571-01136,3.299E-6,158.683,137.481,182.981,-80.538,0.028
15,CAOV_12907_D_II.tif:06788-01144,2.447E-6,163.094,141.667,181.667,-81.060,0.021
16,CAOV_12907_D_II.tif:07022-01141,3.705E-6,166.454,150.201,185.701,-81.989,0.032
17,CAOV_12907_D_II.tif:07291-01165,3.569E-6,173.354,148.746,196.856,-81.685,0.031
18,CAOV_12907_D_II.tif:07556-01184,3.705E-6,172.841,153.501,201.243,-81.573,0.032
19,CAOV_12907_D_II.tif:07886-01203,5.165E-6,161.433,143.717,177.244,-83.062,0.044
20,CAOV_12907_D_II.tif:08215-01228,3.813E-6,180.003,157.976,199.773,-84.289,0.033
21,CAOV_12907_D_II.tif:08569-01233,5.882E-6,168.519,150.044,194.333,-84.447,0.050
22,CAOV_12907_D_II.tif:08950-01242,4.421E-6,170.783,153.335,183.849,-87.892,0.038
23,CAOV_12907_D_II.tif:09349-01284,6.395E-6,168.596,151.695,186.774,-88.059,0.055
24,CAOV_12907_D_II.tif:09815-01278,6.287E-6,163.834,146.414,186.885,-88.519,0.054
25,CAOV_12907_D_II.tif:10317-01311,7.207E-6,159.750,140.875,180.010,-88.923,0.062
26,CAOV_12907_D_II.tif:10795-01290,5.800E-6,162.078,140.333,185.667,-90.000,0.050
27,CAOV_12907_D_II.tif:11205-01307,5.368E-6,160.922,141.419,180.448,-90.289,0.046
28,CAOV_12907_D_II.tif:11512-01320,2.853E-6,154.335,140.333,172.333,-90.000,0.024
29,CAOV_12907_D_II.tif:11749-01305,3.583E-6,169.187,156.030,186.182,-88.698,0.031
30,CAOV_12907_D_II.tif:12046-01333,4.475E-6,162.996,133.939,183.636,-88.264,0.038
31,CAOV_12907_D_II.tif:12354-01320,4.097E-6,160.206,137.291,188.501,-89.241,0.035
32,CAOV_12907_D_II.tif:12694-01346,5.178E-6,159.098,138.148,191.967,-88.201,0.044
33,CAOV_12907_D_II.tif:13064-01342,4.746E-6,168.854,152.587,190.832,-88.036,0.041
34,CAOV_12907_D_II.tif:13470-01337,6.260E-6,157.763,136.848,187.407,-87.769,0.054
35,CAOV_12907_D_II.tif:13979-01371,7.639E-6,159.525,128.823,183.915,-88.172,0.066
36,CAOV_12907_D_II.tif:14607-01379,9.438E-6,155.374,134.195,203.195,-86.547,0.081
37,CAOV_12907_D_II.tif:15232-01387,7.531E-6,156.876,138.676,176.490,-84.843,0.065
38,CAOV_12907_D_II.tif:15668-01405,4.273E-6,150.397,112.521,171.410,-84.542,0.037
39,CAOV_12907_D_II.tif:16083-01454,7.004E-6,165.735,147.382,194.726,-86.009,0.060
40,CAOV_12907_D_II.tif:16576-01467,6.274E-6,159.291,140.861,185.070,-87.274,0.054
41,CAOV_12907_D_II.tif:17012-01468,5.571E-6,171.451,152.705,186.722,-86.093,0.048
42,CAOV_12907_D_II.tif:17419-01468,5.706E-6,160.783,135.352,201.106,-85.643,0.049
43,CAOV_12907_D_II.tif:17871-01466,6.558E-6,165.925,149.364,184.868,-88.580,0.056
44,CAOV_12907_D_II.tif:18254-01497,3.826E-6,166.157,137.752,192.567,-87.969,0.033
