 ,Label,Area,Mean,Min,Max,Angle,Length
1,PODE_16611_F_I.tif:06301-00842,4.773E-6,166.893,134.000,195.450,-75.016,0.041
2,PODE_16611_F_I.tif:06672-00922,5.462E-6,170.978,149.578,199.385,-76.515,0.047
3,PODE_16611_F_I.tif:07015-00982,3.948E-6,174.023,145.954,198.361,-76.489,0.034
4,PODE_16611_F_I.tif:07334-01012,4.502E-6,173.291,152.373,188.172,-77.845,0.039
5,PODE_16611_F_I.tif:07686-00958,4.273E-6,173.031,149.369,197.178,-77.155,0.037
6,PODE_16611_F_I.tif:07993-00989,4.029E-6,182.531,152.252,203.717,-77.555,0.035
7,PODE_16611_F_I.tif:08379-01058,6.693E-6,173.011,155.533,196.568,-76.779,0.057
8,PODE_16611_F_I.tif:08795-01000,3.908E-6,182.078,148.015,202.820,-76.543,0.033
9,PODE_16611_F_I.tif:09103-00960,3.880E-6,173.158,150.108,199.401,-78.297,0.033
10,PODE_16611_F_I.tif:09428-00977,4.895E-6,175.105,145.405,204.034,-78.815,0.042
11,PODE_16611_F_I.tif:09755-01018,4.043E-6,175.585,153.022,196.527,-79.936,0.035
12,PODE_16611_F_I.tif:10127-01047,6.057E-6,177.074,153.263,204.168,-80.200,0.052
13,PODE_16611_F_I.tif:10589-01099,6.666E-6,179.290,152.564,204.211,-79.925,0.057
14,PODE_16611_F_I.tif:11189-01053,9.356E-6,172.047,154.012,195.034,-79.910,0.080
15,PODE_16611_F_I.tif:11977-01086,1.182E-5,171.046,140.640,200.917,-79.977,0.102
16,PODE_16611_F_I.tif:12946-01159,1.413E-5,172.429,150.786,203.076,-81.296,0.121
17,PODE_16611_F_I.tif:13987-01182,1.386E-5,174.318,142.846,203.854,-82.479,0.119
18,PODE_16611_F_I.tif:15029-01218,1.401E-5,172.343,144.189,207.431,-81.893,0.120
19,PODE_16611_F_I.tif:16006-01229,1.209E-5,171.500,153.586,202.825,-82.015,0.104
20,PODE_16611_F_I.tif:16837-01243,1.007E-5,156.468,117.667,186.005,-82.273,0.086
21,PODE_16611_F_I.tif:17611-01253,1.095E-5,157.377,125.604,196.273,-83.683,0.094
22,PODE_16611_F_I.tif:18349-01270,9.059E-6,149.871,119.064,192.684,-84.767,0.078
23,PODE_16611_F_I.tif:19069-01281,1.049E-5,148.385,109.612,188.780,-84.518,0.090
24,PODE_16611_F_I.tif:19887-01332,1.164E-5,151.592,103.983,187.416,-84.197,0.100
25,PODE_16611_F_I.tif:20630-01209,8.180E-6,159.871,126.959,197.604,-85.914,0.070
26,PODE_16611_F_I.tif:21227-01217,7.991E-6,147.151,108.567,187.746,-85.043,0.069
27,PODE_16611_F_I.tif:21852-01243,8.829E-6,151.260,107.397,194.312,-85.689,0.076
28,PODE_16611_F_I.tif:22487-01135,8.045E-6,142.244,105.656,180.248,-84.788,0.069
29,PODE_16611_F_I.tif:23060-01107,7.261E-6,144.637,112.778,184.259,-85.183,0.062
30,PODE_16611_F_I.tif:23612-01103,7.639E-6,149.168,106.367,190.637,-84.916,0.066
31,PODE_16611_F_I.tif:24186-01018,7.734E-6,148.367,106.853,191.733,-86.186,0.066
32,PODE_16611_F_I.tif:24726-01002,6.828E-6,150.511,106.512,192.602,-84.425,0.059
33,PODE_16611_F_I.tif:25267-00999,7.720E-6,145.032,109.524,179.809,-84.769,0.066
34,PODE_16611_F_I.tif:25807-01004,7.004E-6,147.683,104.136,190.767,-86.009,0.060
35,PODE_16611_F_I.tif:26341-01021,7.599E-6,153.780,116.518,190.073,-87.342,0.065
36,PODE_16611_F_I.tif:26887-01025,7.288E-6,150.026,116.585,189.757,-85.201,0.063
37,PODE_16611_F_I.tif:27388-01017,6.395E-6,155.386,122.760,189.822,-87.574,0.055
38,PODE_16611_F_I.tif:27883-01022,7.085E-6,146.906,114.258,183.071,-86.492,0.061
39,PODE_16611_F_I.tif:28368-01009,6.152E-6,155.779,117.379,185.809,-87.604,0.053
40,PODE_16611_F_I.tif:28760-01004,4.557E-6,150.548,110.417,189.208,-87.614,0.039
41,PODE_16611_F_I.tif:29161-01004,6.287E-6,149.304,112.529,189.448,-87.532,0.054
42,PODE_16611_F_I.tif:29632-01004,6.517E-6,145.947,107.902,191.752,-87.500,0.056
43,PODE_16611_F_I.tif:30005-00976,3.529E-6,153.328,109.968,195.590,-88.898,0.030
44,PODE_16611_F_I.tif:30213-01003,2.163E-6,146.211,115.006,189.491,-90.360,0.018
45,PODE_16611_F_I.tif:30374-00961,2.326E-6,158.438,129.667,190.333,-90.000,0.020
46,PODE_16611_F_I.tif:30575-01018,3.096E-6,157.198,130.982,184.491,-89.749,0.027
47,PODE_16611_F_I.tif:30928-01008,6.531E-6,160.584,133.752,184.348,-88.693,0.056
48,PODE_16611_F_I.tif:31482-01040,8.613E-6,159.336,120.040,195.486,-89.009,0.074
49,PODE_16611_F_I.tif:32097-01020,8.140E-6,153.244,119.815,189.667,-90.381,0.070
50,PODE_16611_F_I.tif:32797-01040,1.069E-5,155.236,125.156,190.059,-89.782,0.092
51,PODE_16611_F_I.tif:33410-01062,5.746E-6,160.070,127.132,192.195,-91.081,0.049
52,PODE_16611_F_I.tif:33763-01064,3.786E-6,168.357,136.750,194.529,-94.525,0.032
53,PODE_16611_F_I.tif:34043-01057,3.772E-6,165.276,126.257,192.421,-95.772,0.032
54,PODE_16611_F_I.tif:34335-01049,4.273E-6,159.384,116.878,195.802,-94.371,0.037
55,PODE_16611_F_I.tif:34641-01037,4.016E-6,146.916,119.826,181.869,-93.879,0.034
56,PODE_16611_F_I.tif:34920-01036,3.515E-6,145.282,111.236,179.070,-92.211,0.030
57,PODE_16611_F_I.tif:35180-01041,3.515E-6,152.934,122.171,186.099,-92.653,0.030
58,PODE_16611_F_I.tif:35485-01048,4.719E-6,158.140,122.889,183.437,-92.304,0.040
59,PODE_16611_F_I.tif:35913-01050,6.950E-6,150.971,108.151,197.757,-91.563,0.060
60,PODE_16611_F_I.tif:36457-01045,7.923E-6,147.933,107.052,184.904,-91.273,0.068
