 ,Label,Area,Mean,Min,Max,Angle,Length
1,PODE_16611_F_II.tif:04912-00617,3.759E-6,167.171,145.159,187.245,-73.856,0.032
2,PODE_16611_F_II.tif:05251-00673,5.462E-6,167.942,135.053,196.798,-75.791,0.047
3,PODE_16611_F_II.tif:05580-00712,3.529E-6,169.996,150.120,195.667,105.642,0.030
4,PODE_16611_F_II.tif:05959-00713,6.436E-6,174.943,144.850,198.129,-75.379,0.055
5,PODE_16611_F_II.tif:06410-00754,5.638E-6,171.995,140.746,195.132,-74.962,0.048
6,PODE_16611_F_II.tif:06868-00727,6.071E-6,165.678,136.250,192.000,-75.530,0.052
7,PODE_16611_F_II.tif:07391-00810,8.126E-6,166.440,140.555,197.137,-74.921,0.070
8,PODE_16611_F_II.tif:07966-00833,7.193E-6,168.237,142.074,195.081,-76.173,0.062
9,PODE_16611_F_II.tif:08502-00832,7.058E-6,170.540,146.032,200.085,-75.324,0.061
10,PODE_16611_F_II.tif:09113-00805,8.789E-6,165.280,135.010,196.368,-77.270,0.075
11,PODE_16611_F_II.tif:09590-00834,4.110E-6,166.169,137.184,186.356,-77.246,0.035
12,PODE_16611_F_II.tif:09987-00841,6.449E-6,165.799,144.512,196.927,-78.855,0.055
13,PODE_16611_F_II.tif:10467-00869,6.544E-6,171.736,143.214,201.691,-81.551,0.056
14,PODE_16611_F_II.tif:11019-00879,8.072E-6,165.677,137.504,194.438,-79.953,0.069
15,PODE_16611_F_II.tif:11612-00950,8.072E-6,160.490,125.294,188.826,-81.897,0.069
16,PODE_16611_F_II.tif:12228-00997,8.491E-6,146.728,112.166,187.666,-83.498,0.073
17,PODE_16611_F_II.tif:12923-00945,1.007E-5,154.359,111.742,184.367,-81.347,0.087
18,PODE_16611_F_II.tif:13836-01092,1.485E-5,150.496,115.043,188.560,-82.350,0.128
19,PODE_16611_F_II.tif:14732-01000,9.235E-6,151.523,106.293,189.709,-82.333,0.079
20,PODE_16611_F_II.tif:15582-01046,1.387E-5,139.155,113.077,178.055,-84.067,0.119
21,PODE_16611_F_II.tif:16670-01092,1.574E-5,139.174,92.877,195.184,-82.741,0.135
22,PODE_16611_F_II.tif:17807-01153,1.499E-5,139.955,103.438,186.082,-79.025,0.129
23,PODE_16611_F_II.tif:19170-01108,2.051E-5,139.428,102.868,194.999,-80.128,0.176
24,PODE_16611_F_II.tif:20959-01197,2.731E-5,147.301,111.227,195.541,-82.544,0.235
25,PODE_16611_F_II.tif:22728-01226,1.989E-5,154.426,126.114,190.976,-83.909,0.171
26,PODE_16611_F_II.tif:24109-01240,1.714E-5,153.667,124.534,180.947,-83.290,0.147
27,PODE_16611_F_II.tif:25270-01273,1.389E-5,147.287,113.228,180.067,-84.128,0.119
28,PODE_16611_F_II.tif:26299-01274,1.403E-5,148.624,121.896,194.127,-84.801,0.121
29,PODE_16611_F_II.tif:27384-01207,1.549E-5,153.113,123.909,189.187,-86.446,0.133
30,PODE_16611_F_II.tif:28427-01234,1.280E-5,151.291,116.889,185.950,-88.305,0.110
31,PODE_16611_F_II.tif:30195-01245,9.235E-6,152.188,126.431,195.500,-87.901,0.079
