 ,Label,Area,Mean,Min,Max,Angle,Length
1,PODE_16611_J_II-1.tif:02656-00867,5.395E-6,169.579,132.079,196.854,-90.144,0.046
2,PODE_16611_J_II-1.tif:03242-00882,1.048E-5,174.014,147.788,210.084,-90.074,0.090
3,PODE_16611_J_II-1.tif:03843-00852,5.652E-6,177.844,158.556,199.469,-90.687,0.048
4,PODE_16611_J_II-1.tif:04415-00843,9.830E-6,178.450,155.759,217.333,-94.344,0.084
5,PODE_16611_J_II-1.tif:05064-00826,7.626E-6,179.364,151.264,206.159,-94.071,0.066
6,PODE_16611_J_II-1.tif:05603-00826,7.098E-6,179.419,162.153,202.627,-92.846,0.061
7,PODE_16611_J_II-1.tif:06065-00817,5.178E-6,184.872,161.075,207.572,-93.904,0.044
8,PODE_16611_J_II-1.tif:06412-00821,4.232E-6,176.353,160.581,193.818,-92.569,0.036
9,PODE_16611_J_II-1.tif:06848-00819,7.815E-6,177.102,152.500,198.197,-93.180,0.067
10,PODE_16611_J_II-1.tif:07373-00799,6.328E-6,178.347,145.609,196.159,-94.540,0.054
11,PODE_16611_J_II-1.tif:07888-00777,7.585E-6,180.162,152.594,202.990,-92.765,0.065
12,PODE_16611_J_II-1.tif:08351-00784,4.895E-6,176.810,156.464,204.561,-91.428,0.042
13,PODE_16611_J_II-1.tif:08770-00791,6.463E-6,175.914,154.000,202.379,-89.279,0.055
14,PODE_16611_J_II-1.tif:09239-00783,6.368E-6,173.118,156.290,193.172,-90.122,0.055
15,PODE_16611_J_II-1.tif:09637-00757,4.557E-6,176.255,158.452,201.042,-89.659,0.039
16,PODE_16611_J_II-1.tif:10030-00751,6.165E-6,178.026,151.441,201.200,-89.119,0.053
17,PODE_16611_J_II-1.tif:10508-00730,6.760E-6,176.520,136.506,200.213,-91.837,0.058
18,PODE_16611_J_II-1.tif:11035-00734,7.531E-6,175.455,153.787,200.785,-90.309,0.065
19,PODE_16611_J_II-1.tif:11656-00689,9.248E-6,170.315,137.851,201.512,-89.581,0.079
20,PODE_16611_J_II-1.tif:12095-00665,2.650E-6,158.565,121.472,182.323,-88.825,0.023
21,PODE_16611_J_II-1.tif:12487-00676,7.937E-6,163.075,133.506,195.125,-91.662,0.068
22,PODE_16611_J_II-1.tif:13025-00642,6.693E-6,151.266,90.282,185.205,-92.203,0.057
23,PODE_16611_J_II-1.tif:13596-00655,8.410E-6,159.333,130.999,193.390,-90.369,0.072
24,PODE_16611_J_II-1.tif:14095-00657,5.178E-6,154.072,115.855,196.843,-91.799,0.044
25,PODE_16611_J_II-1.tif:14367-00637,2.136E-6,154.325,124.667,177.333,-90.000,0.018
26,PODE_16611_J_II-1.tif:14585-00649,3.894E-6,161.486,130.041,188.065,-91.397,0.033
27,PODE_16611_J_II-1.tif:14870-00622,3.813E-6,146.229,120.951,176.012,-90.816,0.033
28,PODE_16611_J_II-1.tif:15186-00629,4.611E-6,152.083,109.031,188.729,-92.694,0.040
29,PODE_16611_J_II-1.tif:15486-00604,3.637E-6,154.208,112.333,199.259,-91.923,0.031
30,PODE_16611_J_II-1.tif:15763-00601,3.894E-6,166.625,127.667,189.684,-94.399,0.033
31,PODE_16611_J_II-1.tif:16103-00638,5.016E-6,145.904,109.541,179.568,-95.110,0.043
32,PODE_16611_J_II-1.tif:16517-00542,6.274E-6,148.286,114.664,180.255,-97.079,0.054
33,PODE_16611_J_II-1.tif:16946-00563,5.192E-6,142.014,107.915,171.584,-95.845,0.045
34,PODE_16611_J_II-1.tif:17391-00578,6.693E-6,149.935,116.807,186.812,-94.532,0.057
35,PODE_16611_J_II-1.tif:17840-00560,5.516E-6,149.311,100.736,179.066,-96.340,0.047
36,PODE_16611_J_II-1.tif:18227-00539,4.867E-6,137.144,96.523,162.750,-96.234,0.042
37,PODE_16611_J_II-1.tif:18588-00564,4.759E-6,138.455,95.002,163.818,-96.882,0.041
38,PODE_16611_J_II-1.tif:18954-00584,5.057E-6,135.856,104.973,166.187,-95.069,0.043
39,PODE_16611_J_II-1.tif:19248-00603,2.461E-6,144.024,119.606,168.065,-95.711,0.021
40,PODE_16611_J_II-1.tif:19536-00602,5.057E-6,146.395,117.248,170.115,-95.069,0.043
41,PODE_16611_J_II-1.tif:19910-00597,4.800E-6,144.759,115.553,164.902,-96.823,0.041
42,PODE_16611_J_II-1.tif:20264-00602,4.529E-6,143.581,110.818,182.269,-94.635,0.039
43,PODE_16611_J_II-1.tif:20628-00599,5.138E-6,139.038,111.000,170.669,-94.086,0.044
44,PODE_16611_J_II-1.tif:20985-00546,4.719E-6,143.935,112.333,169.517,-91.975,0.040
45,PODE_16611_J_II-1.tif:21306-00603,3.583E-6,146.732,110.409,168.000,-92.603,0.031
46,PODE_16611_J_II-1.tif:21648-00552,5.909E-6,139.708,104.979,165.614,-93.945,0.051
47,PODE_16611_J_II-1.tif:22210-00574,8.964E-6,134.572,102.701,164.101,-94.073,0.077
48,PODE_16611_J_II-1.tif:22745-00569,5.611E-6,129.336,96.208,160.427,-93.326,0.048
49,PODE_16611_J_II-1.tif:23262-00624,7.910E-6,130.713,93.613,161.499,-96.784,0.068
50,PODE_16611_J_II-1.tif:23773-00608,5.733E-6,133.519,103.653,163.652,-95.697,0.049
51,PODE_16611_J_II-1.tif:24178-00633,4.746E-6,133.081,105.134,162.699,-95.076,0.041
52,PODE_16611_J_II-1.tif:24651-00633,7.937E-6,132.006,94.991,161.408,-94.601,0.068
53,PODE_16611_J_II-1.tif:25175-00635,6.084E-6,129.971,75.477,154.225,-94.732,0.052
54,PODE_16611_J_II-1.tif:25585-00616,5.165E-6,141.473,109.916,167.752,-95.276,0.044
55,PODE_16611_J_II-1.tif:25965-00613,4.935E-6,131.759,89.758,165.048,-96.462,0.042
56,PODE_16611_J_II-1.tif:26417-00579,7.342E-6,118.950,92.097,159.144,-95.080,0.063
57,PODE_16611_J_II-1.tif:26909-00556,5.922E-6,134.123,95.216,162.123,-95.515,0.051
58,PODE_16611_J_II-1.tif:27328-00566,5.233E-6,135.617,102.335,160.185,-90.891,0.045
59,PODE_16611_J_II-1.tif:27646-00598,3.367E-6,131.591,107.410,152.844,-89.307,0.029
60,PODE_16611_J_II-1.tif:28024-00670,6.666E-6,134.141,100.981,160.226,-94.193,0.057
