 ,Label,Area,Mean,Min,Max,Angle,Length
1,QUAL_21815_E_I.tif:07205-00909,7.779E-6,156.912,109.333,200.405,-92.681,0.084
2,QUAL_21815_E_I.tif:08205-00935,9.302E-6,168.254,134.358,185.605,-91.120,0.100
3,QUAL_21815_E_I.tif:09293-00798,9.224E-6,161.443,138.247,183.531,-91.291,0.099
4,QUAL_21815_E_I.tif:10287-00840,8.212E-6,146.712,116.059,182.797,-88.912,0.088
5,QUAL_21815_E_I.tif:11318-00723,9.224E-6,146.189,107.823,185.816,-88.709,0.099
6,QUAL_21815_E_I.tif:12506-01119,1.040E-5,142.339,65.911,171.903,-94.871,0.112
7,QUAL_21815_E_I.tif:13608-01182,8.792E-6,133.213,51.443,189.665,-92.710,0.094
8,QUAL_21815_E_I.tif:14561-01215,7.727E-6,153.790,117.557,184.330,-88.072,0.083
9,QUAL_21815_E_I.tif:15471-01142,7.952E-6,154.459,130.784,188.176,-89.438,0.085
10,QUAL_21815_E_I.tif:16439-00968,8.480E-6,148.904,121.756,184.230,-84.901,0.091
11,QUAL_21815_E_I.tif:17544-00944,1.052E-5,142.524,83.968,192.286,-85.894,0.113
12,QUAL_21815_E_I.tif:18752-01046,1.049E-5,132.159,105.467,171.157,-83.315,0.113
13,QUAL_21815_E_I.tif:20184-00969,1.261E-5,131.146,102.709,160.749,-83.138,0.135
14,QUAL_21815_E_I.tif:21588-00828,1.037E-5,144.965,95.876,177.691,-80.774,0.111
15,QUAL_21815_E_I.tif:22776-00848,9.631E-6,137.401,69.734,211.794,-83.335,0.103
16,QUAL_21815_E_I.tif:24083-01536,9.943E-6,140.880,109.294,175.039,-97.812,0.107
17,QUAL_21815_E_I.tif:25316-01515,1.060E-5,127.672,90.018,162.940,-96.759,0.114
18,QUAL_21815_E_I.tif:26579-01563,1.025E-5,134.461,98.160,173.235,-97.287,0.110
19,QUAL_21815_E_I.tif:27627-01547,7.373E-6,137.439,105.034,157.361,-99.130,0.079
20,QUAL_21815_E_I.tif:28509-01554,7.580E-6,130.797,78.009,173.695,-99.075,0.081
21,QUAL_21815_E_I.tif:29483-01503,8.740E-6,132.899,88.978,178.207,-100.274,0.094
22,QUAL_21815_E_I.tif:30444-01431,7.736E-6,131.992,93.542,188.387,-98.893,0.083
23,QUAL_21815_E_I.tif:31518-01374,1.047E-5,130.418,91.174,173.195,-96.843,0.112
24,QUAL_21815_E_I.tif:32802-01346,1.127E-5,136.450,108.893,165.503,-95.159,0.121
25,QUAL_21815_E_I.tif:33942-01353,8.359E-6,126.759,80.702,174.429,-95.711,0.090
26,QUAL_21815_E_I.tif:34791-01380,5.780E-6,138.276,110.783,176.182,-98.276,0.062
27,QUAL_21815_E_I.tif:35394-01347,4.474E-6,125.451,89.282,155.253,-98.696,0.048
28,QUAL_21815_E_I.tif:35996-01361,5.495E-6,136.259,106.255,177.935,-101.735,0.059
29,QUAL_21815_E_I.tif:36825-01365,8.143E-6,124.756,78.786,170.258,-98.440,0.087
30,QUAL_21815_E_I.tif:37743-01376,6.767E-6,128.873,86.463,169.416,-97.726,0.073
31,QUAL_21815_E_I.tif:38718-01421,8.160E-6,122.173,67.369,178.032,-103.063,0.088
32,QUAL_21815_E_I.tif:39819-01413,9.908E-6,128.312,93.378,182.397,-99.660,0.106
33,QUAL_21815_E_I.tif:40920-01359,8.826E-6,135.220,88.780,180.123,-95.408,0.095
34,QUAL_21815_E_I.tif:41946-01340,8.896E-6,126.808,85.158,168.234,-92.511,0.096
35,QUAL_21815_E_I.tif:43143-01391,1.159E-5,132.855,80.169,183.963,-89.358,0.124
36,QUAL_21815_E_I.tif:44570-01415,1.317E-5,134.235,78.491,168.720,-90.339,0.141
37,QUAL_21815_E_I.tif:45908-01457,9.951E-6,136.161,104.239,174.003,-88.654,0.107
38,QUAL_21815_E_I.tif:47102-01389,1.057E-5,121.557,60.667,182.333,-90.000,0.114
39,QUAL_21815_E_I.tif:48255-01443,9.519E-6,114.501,75.952,176.734,-87.497,0.102
40,QUAL_21815_E_I.tif:49398-01388,1.005E-5,124.713,99.635,161.500,-86.294,0.108
41,QUAL_21815_E_I.tif:50654-01368,1.167E-5,127.850,69.445,160.157,-88.214,0.125
42,QUAL_21815_E_I.tif:51964-01431,1.113E-5,120.160,78.517,171.124,-88.394,0.119
