 ,Label,Area,Mean,Min,Max,Angle,Length
1,QUAL_227-2011_A_II.tif:00726-00774,4.070E-6,162.662,129.667,184.547,-92.291,0.035
2,QUAL_227-2011_A_II.tif:01094-00782,5.909E-6,159.650,98.137,184.660,-93.552,0.051
3,QUAL_227-2011_A_II.tif:01493-00816,4.002E-6,155.654,108.655,185.269,-99.367,0.034
4,QUAL_227-2011_A_II.tif:01818-00828,4.435E-6,146.649,114.445,168.837,-97.386,0.038
5,QUAL_227-2011_A_II.tif:02169-00825,4.989E-6,151.502,109.560,186.781,-95.618,0.043
6,QUAL_227-2011_A_II.tif:02547-00809,5.246E-6,161.707,104.177,184.890,-96.684,0.045
7,QUAL_227-2011_A_II.tif:02943-00804,5.476E-6,152.332,113.505,186.361,-95.964,0.047
8,QUAL_227-2011_A_II.tif:03315-00825,4.408E-6,152.789,125.247,184.581,-95.290,0.038
9,QUAL_227-2011_A_II.tif:03662-00831,4.705E-6,153.959,111.006,192.875,-95.957,0.040
10,QUAL_227-2011_A_II.tif:04032-00872,5.206E-6,153.647,121.536,192.417,-90.448,0.045
11,QUAL_227-2011_A_II.tif:04430-00881,5.503E-6,147.175,108.745,189.585,-93.814,0.047
12,QUAL_227-2011_A_II.tif:04946-00914,8.261E-6,162.554,111.040,188.315,-86.898,0.071
13,QUAL_227-2011_A_II.tif:05442-00968,5.138E-6,163.586,147.328,178.592,-85.011,0.044
14,QUAL_227-2011_A_II.tif:05855-00965,5.760E-6,144.835,118.088,173.600,-83.928,0.049
15,QUAL_227-2011_A_II.tif:06242-01025,4.692E-6,149.751,111.404,183.984,-85.525,0.040
16,QUAL_227-2011_A_II.tif:06707-00975,7.355E-6,149.821,120.076,184.267,-90.633,0.063
17,QUAL_227-2011_A_II.tif:07209-00932,6.287E-6,145.139,118.831,175.996,-95.563,0.054
18,QUAL_227-2011_A_II.tif:07580-00929,3.583E-6,151.299,125.152,170.438,-98.499,0.031
19,QUAL_227-2011_A_II.tif:07940-00924,5.841E-6,141.250,111.677,174.998,-94.797,0.050
20,QUAL_227-2011_A_II.tif:08369-00932,5.476E-6,155.904,115.791,182.435,-98.973,0.047
21,QUAL_227-2011_A_II.tif:08813-00957,5.827E-6,139.212,93.484,177.458,-100.448,0.050
22,QUAL_227-2011_A_II.tif:09239-00929,5.381E-6,157.186,129.642,185.076,-102.670,0.046
23,QUAL_227-2011_A_II.tif:09722-00912,7.125E-6,132.855,102.834,169.765,-102.529,0.061
24,QUAL_227-2011_A_II.tif:10337-00845,9.005E-6,105.031,68.867,165.510,-101.716,0.077
25,QUAL_227-2011_A_II.tif:11006-00782,9.275E-6,111.722,67.684,171.518,-99.834,0.080
26,QUAL_227-2011_A_II.tif:11567-00755,6.111E-6,131.222,73.606,176.325,-101.908,0.052
27,QUAL_227-2011_A_II.tif:12054-00870,6.111E-6,136.582,86.252,179.615,-99.964,0.052
28,QUAL_227-2011_A_II.tif:12513-00863,5.868E-6,139.683,99.837,181.965,-99.985,0.050
29,QUAL_227-2011_A_II.tif:13032-00905,7.207E-6,137.919,101.279,175.775,-101.373,0.062
30,QUAL_227-2011_A_II.tif:13562-00953,6.017E-6,124.809,86.554,162.884,-101.310,0.052
31,QUAL_227-2011_A_II.tif:14063-00983,6.909E-6,140.064,94.882,177.678,-96.415,0.059
32,QUAL_227-2011_A_II.tif:14648-00969,8.694E-6,128.614,93.203,162.206,-99.682,0.075
33,QUAL_227-2011_A_II.tif:15290-00965,8.383E-6,125.841,74.649,182.435,-96.402,0.072
34,QUAL_227-2011_A_II.tif:15803-00936,5.327E-6,123.854,78.498,185.079,-99.678,0.046
35,QUAL_227-2011_A_II.tif:16388-00986,9.762E-6,132.353,93.547,181.334,-95.972,0.084
36,QUAL_227-2011_A_II.tif:17291-01061,1.380E-5,125.828,88.638,179.751,-94.554,0.119
37,QUAL_227-2011_A_II.tif:18251-01128,1.198E-5,132.266,92.000,175.739,-91.553,0.103
38,QUAL_227-2011_A_II.tif:19028-01113,9.086E-6,127.348,95.667,173.628,-94.104,0.078
39,QUAL_227-2011_A_II.tif:19809-01115,1.195E-5,130.713,97.349,176.010,-92.921,0.103
40,QUAL_227-2011_A_II.tif:20595-01145,9.072E-6,132.846,107.086,182.205,-95.915,0.078
41,QUAL_227-2011_A_II.tif:21344-01173,1.056E-5,121.383,76.122,163.525,-94.855,0.091
42,QUAL_227-2011_A_II.tif:21954-01203,5.868E-6,124.313,94.211,159.007,-93.972,0.050
43,QUAL_227-2011_A_II.tif:22568-01230,1.084E-5,124.145,93.064,174.157,-88.713,0.093
44,QUAL_227-2011_A_II.tif:23178-01286,5.706E-6,119.560,89.408,154.919,-87.138,0.049
45,QUAL_227-2011_A_II.tif:23597-01227,5.408E-6,134.722,99.667,184.667,-90.000,0.046
46,QUAL_227-2011_A_II.tif:23955-01275,4.327E-6,124.014,104.235,157.185,-85.684,0.037
47,QUAL_227-2011_A_II.tif:24342-01344,6.111E-6,127.801,94.258,175.537,-85.426,0.052
48,QUAL_227-2011_A_II.tif:24767-01334,5.178E-6,118.493,75.728,169.900,-85.050,0.044
49,QUAL_227-2011_A_II.tif:25110-01358,4.489E-6,117.238,86.608,166.767,-93.641,0.038
50,QUAL_227-2011_A_II.tif:25457-01374,4.773E-6,120.512,86.494,161.115,-93.912,0.041
51,QUAL_227-2011_A_II.tif:25787-01293,4.029E-6,121.544,85.000,159.303,-91.157,0.035
