 ,Label,Area,Mean,Min,Max,Angle,Length
1,QURU_11253_A_I.tif:02921-00478,8.951E-6,177.531,108.184,194.268,-72.387,0.077
2,QURU_11253_A_I.tif:03606-00584,8.789E-6,164.495,119.441,191.573,-73.909,0.076
3,QURU_11253_A_I.tif:04310-00679,9.113E-6,174.208,133.888,191.817,-74.312,0.078
4,QURU_11253_A_I.tif:05044-00694,9.086E-6,162.060,135.053,184.206,-76.212,0.078
5,QURU_11253_A_I.tif:05708-00821,9.194E-6,162.938,142.278,193.549,-79.650,0.079
6,QURU_11253_A_I.tif:06471-00856,1.080E-5,159.777,88.631,190.672,-75.790,0.093
7,QURU_11253_A_I.tif:07434-00532,9.681E-6,153.448,90.413,185.746,-78.062,0.083
8,QURU_11253_A_I.tif:08034-00686,7.220E-6,139.853,90.952,163.532,-77.425,0.062
9,QURU_11253_A_I.tif:08630-00750,8.843E-6,122.986,64.226,168.399,-78.346,0.076
10,QURU_11253_A_I.tif:09368-00692,9.749E-6,136.847,99.708,168.283,-77.816,0.084
11,QURU_11253_A_I.tif:10075-00826,9.627E-6,135.681,53.496,162.539,-77.331,0.083
12,QURU_11253_A_I.tif:10742-00956,8.748E-6,131.469,62.438,179.006,-77.856,0.075
13,QURU_11253_A_I.tif:11581-00785,1.111E-5,117.265,40.332,172.958,-77.759,0.095
14,QURU_11253_A_I.tif:12454-00825,1.172E-5,128.878,107.619,166.788,-78.404,0.101
15,QURU_11253_A_I.tif:13208-00913,8.275E-6,121.451,56.977,157.264,-78.874,0.071
16,QURU_11253_A_I.tif:13875-00992,9.721E-6,124.804,65.359,169.081,-79.724,0.083
17,QURU_11253_A_I.tif:14746-00968,1.330E-5,132.258,97.018,151.139,-85.798,0.114
18,QURU_11253_A_I.tif:15733-00988,1.330E-5,125.272,42.333,157.999,-86.969,0.114
19,QURU_11253_A_I.tif:16550-01038,8.937E-6,114.521,37.218,160.776,-89.306,0.077
20,QURU_11253_A_I.tif:17243-00890,9.181E-6,127.181,85.065,162.484,-89.662,0.079
21,QURU_11253_A_I.tif:18041-00848,1.232E-5,129.298,89.697,187.861,-91.511,0.106
22,QURU_11253_A_I.tif:18850-00799,9.708E-6,130.748,87.667,157.861,-93.357,0.083
23,QURU_11253_A_I.tif:19613-00793,1.087E-5,122.469,64.365,154.095,-92.428,0.093
24,QURU_11253_A_I.tif:20442-00779,1.165E-5,113.488,41.524,159.831,-92.796,0.100
25,QURU_11253_A_I.tif:21393-00817,1.367E-5,131.105,97.568,174.371,-90.113,0.117
26,QURU_11253_A_I.tif:22249-00828,9.505E-6,125.871,86.439,160.211,-91.958,0.082
27,QURU_11253_A_I.tif:22942-00844,9.154E-6,119.461,50.221,161.615,-87.967,0.079
28,QURU_11253_A_I.tif:23572-00840,7.869E-6,140.886,102.112,180.299,-86.842,0.068
29,QURU_11253_A_I.tif:24308-00891,1.209E-5,128.770,70.137,157.538,-88.074,0.104
30,QURU_11253_A_I.tif:25049-00898,8.058E-6,137.692,60.228,166.950,-86.148,0.069
31,QURU_11253_A_I.tif:25609-00936,7.234E-6,133.092,102.941,159.577,-90.858,0.062
32,QURU_11253_A_I.tif:26210-00951,8.991E-6,126.736,59.655,162.891,-90.863,0.077
33,QURU_11253_A_I.tif:26927-00958,1.048E-5,127.823,60.212,158.930,-90.888,0.090
34,QURU_11253_A_I.tif:27631-00915,8.761E-6,121.320,41.444,150.831,-92.305,0.075
35,QURU_11253_A_I.tif:28209-00913,6.706E-6,115.943,56.179,152.201,-94.399,0.058
36,QURU_11253_A_I.tif:28733-00901,7.531E-6,139.032,92.823,175.659,-98.480,0.065
37,QURU_11253_A_I.tif:29368-00914,9.154E-6,116.565,49.799,158.651,-90.339,0.079
38,QURU_11253_A_I.tif:30040-00919,8.897E-6,133.490,82.014,175.065,-92.618,0.076
39,QURU_11253_A_I.tif:30778-00921,1.115E-5,126.168,44.190,178.926,-90.973,0.096
40,QURU_11253_A_I.tif:31581-01085,9.938E-6,129.951,100.795,164.989,-95.788,0.085
41,QURU_11253_A_I.tif:32309-01034,9.776E-6,131.092,95.229,162.083,-95.726,0.084
42,QURU_11253_A_I.tif:33012-00966,9.410E-6,122.193,54.088,163.631,-97.943,0.081
43,QURU_11253_A_I.tif:33754-00900,1.083E-5,125.025,72.214,166.591,-96.024,0.093
44,QURU_11253_A_I.tif:34494-00876,9.181E-6,133.415,70.992,175.266,-94.399,0.079
45,QURU_11253_A_I.tif:35280-00845,1.216E-5,125.220,76.288,170.184,-93.449,0.104
46,QURU_11253_A_I.tif:36152-00930,1.113E-5,114.366,80.868,177.865,-94.463,0.096
47,QURU_11253_A_I.tif:37111-01006,1.403E-5,122.925,66.547,171.072,-96.645,0.121
48,QURU_11253_A_I.tif:38275-01049,1.654E-5,123.006,35.645,169.851,-94.413,0.142
49,QURU_11253_A_I.tif:39460-01116,1.517E-5,109.811,47.719,165.264,-100.067,0.130
50,QURU_11253_A_I.tif:40567-01108,1.497E-5,127.631,75.590,188.468,-97.061,0.129
51,QURU_11253_A_I.tif:41662-01147,1.326E-5,132.233,50.800,190.311,-101.654,0.114
52,QURU_11253_A_I.tif:42539-01087,9.721E-6,130.857,85.124,167.606,-108.687,0.083
53,QURU_11253_A_I.tif:43706-01192,1.714E-5,128.863,55.134,189.481,-106.691,0.147
54,QURU_11253_A_I.tif:44704-01249,9.329E-6,118.371,43.179,165.089,-104.964,0.080
