 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACRU_525-2009_A_II.tif:01940-01107,4.421E-6,169.370,152.594,185.320,-108.213,0.038
2,ACRU_525-2009_A_II.tif:02278-01088,4.624E-6,175.889,152.276,195.620,-107.053,0.040
3,ACRU_525-2009_A_II.tif:02530-01025,2.271E-6,165.025,145.581,175.305,-108.869,0.019
4,ACRU_525-2009_A_II.tif:02756-01029,3.799E-6,165.174,148.148,191.615,-107.916,0.033
5,ACRU_525-2009_A_II.tif:03056-00980,4.313E-6,166.707,151.870,194.316,-106.044,0.037
6,ACRU_525-2009_A_II.tif:03385-00922,4.719E-6,166.392,148.777,188.744,-102.600,0.041
7,ACRU_525-2009_A_II.tif:03806-00909,6.558E-6,169.275,139.375,196.239,-101.681,0.056
8,ACRU_525-2009_A_II.tif:04117-01015,1.514E-6,171.673,149.108,190.717,-103.536,0.013
9,ACRU_525-2009_A_II.tif:04272-01004,2.650E-6,164.010,143.493,192.506,-103.039,0.023
10,ACRU_525-2009_A_II.tif:04516-00997,3.502E-6,154.586,141.437,168.292,-103.928,0.030
11,ACRU_525-2009_A_II.tif:05026-00977,9.992E-6,166.179,136.993,195.629,-100.152,0.086
12,ACRU_525-2009_A_II.tif:05556-01012,3.691E-6,162.463,135.695,187.283,-105.366,0.032
13,ACRU_525-2009_A_II.tif:05942-01069,5.571E-6,164.581,130.187,193.833,-108.435,0.048
14,ACRU_525-2009_A_II.tif:06283-01084,2.407E-6,156.524,136.429,181.307,-115.408,0.021
15,ACRU_525-2009_A_II.tif:06904-01142,1.122E-5,162.283,131.152,191.760,-107.692,0.096
16,ACRU_525-2009_A_II.tif:07951-01116,1.409E-5,155.736,122.938,182.521,-106.066,0.121
17,ACRU_525-2009_A_II.tif:09078-01118,1.394E-5,162.336,137.221,190.341,-103.470,0.120
18,ACRU_525-2009_A_II.tif:10121-01134,1.229E-5,158.213,132.352,182.764,-101.954,0.106
19,ACRU_525-2009_A_II.tif:11122-01134,1.352E-5,159.139,137.822,184.428,-101.782,0.116
20,ACRU_525-2009_A_II.tif:12162-01032,1.413E-5,157.243,123.924,182.682,-99.480,0.121
21,ACRU_525-2009_A_II.tif:13032-01033,8.112E-6,155.983,132.524,179.056,-100.185,0.070
22,ACRU_525-2009_A_II.tif:13771-01109,1.055E-5,150.418,126.289,183.451,-101.108,0.091
23,ACRU_525-2009_A_II.tif:14446-01157,7.017E-6,150.731,121.333,188.140,-102.265,0.060
24,ACRU_525-2009_A_II.tif:15270-01157,1.506E-5,150.767,126.456,187.430,-94.020,0.129
25,ACRU_525-2009_A_II.tif:16490-01169,1.756E-5,154.503,127.826,183.031,-96.282,0.151
26,ACRU_525-2009_A_II.tif:17550-01174,1.074E-5,156.412,130.814,193.120,-95.208,0.092
27,ACRU_525-2009_A_II.tif:18359-01132,1.129E-5,156.369,131.321,189.932,-94.399,0.097
28,ACRU_525-2009_A_II.tif:19100-01110,8.761E-6,159.890,134.004,180.004,-93.543,0.075
29,ACRU_525-2009_A_II.tif:19969-01132,1.452E-5,161.269,137.094,193.371,-92.137,0.125
30,ACRU_525-2009_A_II.tif:20983-01170,1.274E-5,158.718,126.320,194.118,-87.807,0.109
31,ACRU_525-2009_A_II.tif:22031-01219,1.564E-5,154.870,131.004,182.612,-88.712,0.134
32,ACRU_525-2009_A_II.tif:23152-01285,1.504E-5,155.291,132.388,188.302,-87.215,0.129
33,ACRU_525-2009_A_II.tif:24481-01375,2.088E-5,158.943,123.511,186.463,-86.359,0.179
34,ACRU_525-2009_A_II.tif:26224-01556,2.641E-5,155.196,127.392,186.333,-84.120,0.227
35,ACRU_525-2009_A_II.tif:27834-01526,1.696E-5,154.772,131.474,186.487,-78.027,0.146
36,ACRU_525-2009_A_II.tif:29315-01623,2.273E-5,155.800,130.885,189.293,-78.115,0.195
37,ACRU_525-2009_A_II.tif:31016-01707,2.278E-5,158.480,123.364,175.410,-78.423,0.196
38,ACRU_525-2009_A_II.tif:32761-01715,2.419E-5,148.438,119.006,188.419,-81.317,0.208
39,ACRU_525-2009_A_II.tif:34473-01804,2.223E-5,151.302,126.962,185.521,-81.317,0.191
40,ACRU_525-2009_A_II.tif:36311-01718,2.729E-5,152.917,129.021,187.215,-85.793,0.235
41,ACRU_525-2009_A_II.tif:38223-01742,2.465E-5,153.560,118.310,192.117,-83.951,0.212
42,ACRU_525-2009_A_II.tif:40088-01872,2.577E-5,155.394,127.443,188.401,-77.758,0.222
43,ACRU_525-2009_A_II.tif:42048-01665,2.413E-5,154.799,120.687,185.454,-74.593,0.207
44,ACRU_525-2009_A_II.tif:43830-01736,2.273E-5,154.967,120.594,191.683,-73.680,0.195
45,ACRU_525-2009_A_II.tif:45579-01781,2.259E-5,151.973,124.578,189.186,-73.084,0.194
46,ACRU_525-2009_A_II.tif:47469-01758,2.582E-5,151.471,114.946,188.090,-70.407,0.222
