 ,Label,Area,Mean,Min,Max,Angle,Length
1,BEAL_12843_H_I.tif:05127-00511,4.083E-6,143.036,112.421,168.084,-85.806,0.035
2,BEAL_12843_H_I.tif:05501-00527,6.111E-6,151.933,131.338,180.547,-84.277,0.052
3,BEAL_12843_H_I.tif:05906-00535,4.949E-6,150.554,122.128,181.956,-85.445,0.042
4,BEAL_12843_H_I.tif:06118-00575,8.518E-7,150.506,128.806,174.828,-85.389,0.007
5,BEAL_12843_H_I.tif:06287-00556,3.664E-6,149.114,131.038,164.059,-84.268,0.031
6,BEAL_12843_H_I.tif:06807-00559,1.034E-5,145.955,124.378,176.188,-85.946,0.089
7,BEAL_12843_H_I.tif:07330-00569,4.016E-6,151.437,135.983,175.137,-85.349,0.034
8,BEAL_12843_H_I.tif:07726-00589,6.733E-6,147.562,132.830,163.471,-85.150,0.058
9,BEAL_12843_H_I.tif:08059-00594,2.150E-6,147.126,134.443,169.926,-83.100,0.018
10,BEAL_12843_H_I.tif:08380-00605,6.409E-6,145.659,133.189,170.053,-86.001,0.055
11,BEAL_12843_H_I.tif:08826-00619,5.652E-6,138.774,123.389,154.427,-85.328,0.049
12,BEAL_12843_H_I.tif:09349-00642,8.572E-6,145.465,125.997,176.716,-84.830,0.074
13,BEAL_12843_H_I.tif:09965-00544,7.734E-6,141.944,121.381,165.906,-84.878,0.066
14,BEAL_12843_H_I.tif:10292-00559,1.068E-6,157.250,131.154,171.333,-85.601,0.009
15,BEAL_12843_H_I.tif:10381-00550,1.474E-6,139.662,115.340,158.608,-86.292,0.013
16,BEAL_12843_H_I.tif:10619-00587,4.976E-6,140.234,122.543,169.225,-85.937,0.043
17,BEAL_12843_H_I.tif:11148-00604,9.356E-6,131.728,115.277,166.504,-86.434,0.080
18,BEAL_12843_H_I.tif:11608-00619,3.042E-6,142.356,117.833,165.500,-88.210,0.026
19,BEAL_12843_H_I.tif:11916-00636,5.341E-6,137.921,122.173,172.299,-87.965,0.046
20,BEAL_12843_H_I.tif:12639-00608,1.431E-5,137.315,118.584,168.613,-92.007,0.123
21,BEAL_12843_H_I.tif:13654-00597,1.317E-5,128.094,109.108,170.580,-91.119,0.113
22,BEAL_12843_H_I.tif:14424-00601,7.626E-6,128.498,112.459,148.951,-88.677,0.065
23,BEAL_12843_H_I.tif:15141-00574,1.182E-5,134.843,115.699,173.339,-92.758,0.102
24,BEAL_12843_H_I.tif:15901-00559,8.748E-6,139.335,119.991,177.655,-95.154,0.075
25,BEAL_12843_H_I.tif:16908-00693,1.823E-5,139.721,122.978,160.099,-90.510,0.157
26,BEAL_12843_H_I.tif:18205-00606,1.690E-5,132.662,110.958,165.408,-92.752,0.145
27,BEAL_12843_H_I.tif:19009-00625,4.800E-6,133.953,106.079,163.316,-91.941,0.041
28,BEAL_12843_H_I.tif:19828-00698,1.710E-5,132.583,111.120,161.429,-89.093,0.147
29,BEAL_12843_H_I.tif:20596-00664,3.637E-6,131.006,114.507,164.672,-91.710,0.031
30,BEAL_12843_H_I.tif:20972-00710,6.409E-6,131.328,104.872,164.457,-85.638,0.055
31,BEAL_12843_H_I.tif:21397-00707,4.976E-6,130.077,103.367,169.004,-85.937,0.043
32,BEAL_12843_H_I.tif:21893-00764,8.451E-6,124.099,109.000,162.100,-85.954,0.073
33,BEAL_12843_H_I.tif:22415-00758,5.584E-6,125.717,106.581,148.333,-84.982,0.048
34,BEAL_12843_H_I.tif:22890-00819,7.463E-6,131.606,102.537,170.205,-84.372,0.064
35,BEAL_12843_H_I.tif:23368-00790,5.273E-6,132.655,109.975,164.457,-86.460,0.045
36,BEAL_12843_H_I.tif:23791-00783,6.206E-6,137.117,119.415,160.956,-88.749,0.053
37,BEAL_12843_H_I.tif:24450-00812,1.159E-5,124.223,102.642,164.053,-88.929,0.100
38,BEAL_12843_H_I.tif:25002-00834,3.259E-6,129.147,103.267,170.083,-90.955,0.028
39,BEAL_12843_H_I.tif:25299-00788,4.854E-6,129.076,105.063,161.806,-90.640,0.042
40,BEAL_12843_H_I.tif:26043-00818,1.535E-5,126.011,97.666,165.290,-90.404,0.132
41,BEAL_12843_H_I.tif:27346-00818,1.985E-5,127.327,103.772,170.015,-93.596,0.171
42,BEAL_12843_H_I.tif:28586-00833,1.307E-5,120.307,104.454,167.675,-99.657,0.112
43,BEAL_12843_H_I.tif:29423-00990,7.788E-6,132.217,112.895,166.323,-100.020,0.067
44,BEAL_12843_H_I.tif:30186-01005,1.249E-5,126.783,106.663,158.485,-98.850,0.107
45,BEAL_12843_H_I.tif:31055-00998,1.065E-5,121.224,92.048,173.154,-98.768,0.092
46,BEAL_12843_H_I.tif:31774-00906,8.991E-6,110.906,79.875,164.087,-98.667,0.077
47,BEAL_12843_H_I.tif:32531-00940,1.120E-5,99.186,66.421,162.396,-98.620,0.096
48,BEAL_12843_H_I.tif:33309-00940,9.302E-6,91.430,70.174,109.417,-97.022,0.080
49,BEAL_12843_H_I.tif:34092-00863,1.168E-5,94.435,71.754,142.440,-99.200,0.100
50,BEAL_12843_H_I.tif:34859-01020,8.180E-6,90.818,72.577,144.683,-97.996,0.070
51,BEAL_12843_H_I.tif:35464-00991,8.112E-6,90.594,68.236,126.044,-99.022,0.070
52,BEAL_12843_H_I.tif:36235-00981,1.279E-5,94.215,72.964,152.648,-94.733,0.110
53,BEAL_12843_H_I.tif:37693-00977,2.597E-5,99.003,70.243,157.667,-94.600,0.223
54,BEAL_12843_H_I.tif:39246-01085,1.532E-5,100.904,73.509,148.159,-90.911,0.132
55,BEAL_12843_H_I.tif:40084-01126,7.220E-6,99.086,82.773,130.743,-93.871,0.062
56,BEAL_12843_H_I.tif:40716-01145,9.857E-6,100.981,73.468,153.346,-93.940,0.085
