 ,Label,Area,Mean,Min,Max,Angle,Length
1,BENI_1251-79_B_I.tif:03924-00614,8.667E-6,157.947,129.333,184.296,-89.821,0.074
2,BENI_1251-79_B_I.tif:04756-00632,1.391E-5,161.769,134.647,187.789,-91.337,0.120
3,BENI_1251-79_B_I.tif:05658-00682,1.037E-5,160.223,136.065,191.956,-94.490,0.089
4,BENI_1251-79_B_I.tif:06423-00709,1.033E-5,163.743,140.387,188.753,-87.745,0.089
5,BENI_1251-79_B_I.tif:07222-00701,1.133E-5,158.470,131.871,193.505,-86.851,0.097
6,BENI_1251-79_B_I.tif:08140-00718,1.335E-5,161.262,139.990,193.415,-83.480,0.115
7,BENI_1251-79_B_I.tif:09473-00594,2.161E-5,157.157,136.523,186.944,-84.825,0.186
8,BENI_1251-79_B_I.tif:10635-00671,1.017E-5,155.774,136.627,186.310,-80.964,0.087
9,BENI_1251-79_B_I.tif:11307-00719,8.140E-6,152.806,130.065,188.176,-81.384,0.070
10,BENI_1251-79_B_I.tif:12264-00789,1.766E-5,148.360,127.680,184.356,-80.740,0.152
11,BENI_1251-79_B_I.tif:13706-00755,2.098E-5,151.874,126.201,187.107,-81.024,0.180
12,BENI_1251-79_B_I.tif:15734-00824,3.315E-5,152.645,124.570,188.827,-82.782,0.285
13,BENI_1251-79_B_I.tif:18006-00844,2.747E-5,153.692,129.147,194.440,-82.987,0.236
14,BENI_1251-79_B_I.tif:19942-00883,2.450E-5,153.485,130.593,182.992,-84.869,0.211
15,BENI_1251-79_B_I.tif:21497-00931,1.760E-5,153.501,132.089,186.116,-84.263,0.151
16,BENI_1251-79_B_I.tif:23092-00965,2.562E-5,157.572,132.193,188.814,-87.277,0.220
17,BENI_1251-79_B_I.tif:25024-01004,2.697E-5,153.113,128.468,186.206,-87.700,0.232
18,BENI_1251-79_B_I.tif:26932-01091,2.468E-5,154.046,119.583,195.042,-88.807,0.212
19,BENI_1251-79_B_I.tif:28895-01098,2.822E-5,154.696,125.689,198.059,-87.253,0.243
20,BENI_1251-79_B_I.tif:31053-01172,3.026E-5,153.200,123.131,190.441,-86.309,0.260
21,BENI_1251-79_B_I.tif:33493-01126,3.551E-5,151.766,126.532,190.433,-91.659,0.305
