 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAOV_12907_G_I.tif:01562-01349,4.705E-6,173.776,151.572,189.120,-105.719,0.040
2,CAOV_12907_G_I.tif:01977-01269,6.760E-6,169.937,134.317,188.896,-102.255,0.058
3,CAOV_12907_G_I.tif:02439-01191,5.922E-6,164.497,139.343,197.503,-101.875,0.051
4,CAOV_12907_G_I.tif:03023-01086,9.978E-6,168.247,134.217,192.244,-102.225,0.086
5,CAOV_12907_G_I.tif:03676-01034,7.707E-6,157.037,133.523,173.254,-101.349,0.066
6,CAOV_12907_G_I.tif:04270-01051,7.937E-6,160.423,134.509,194.490,-103.610,0.068
7,CAOV_12907_G_I.tif:04837-01010,7.112E-6,161.837,135.512,195.684,-100.539,0.061
8,CAOV_12907_G_I.tif:05464-01031,9.397E-6,165.500,137.523,204.832,-102.152,0.081
9,CAOV_12907_G_I.tif:06096-01017,7.085E-6,169.016,144.879,199.385,-102.600,0.061
10,CAOV_12907_G_I.tif:06725-00997,9.451E-6,163.844,135.760,182.609,-104.434,0.081
11,CAOV_12907_G_I.tif:07383-01033,6.747E-6,174.314,137.430,215.943,-108.508,0.058
12,CAOV_12907_G_I.tif:07916-01100,6.247E-6,175.298,148.280,205.961,-104.579,0.054
13,CAOV_12907_G_I.tif:08378-01083,6.057E-6,175.479,150.201,198.404,-105.840,0.052
14,CAOV_12907_G_I.tif:08810-01050,5.287E-6,169.349,156.010,185.997,-104.250,0.045
15,CAOV_12907_G_I.tif:09355-01028,9.424E-6,161.201,136.454,193.820,-102.279,0.081
16,CAOV_12907_G_I.tif:09937-01036,6.206E-6,167.319,142.619,211.787,-102.095,0.053
17,CAOV_12907_G_I.tif:10468-01040,7.558E-6,166.477,145.183,187.663,-101.994,0.065
18,CAOV_12907_G_I.tif:10957-01040,5.246E-6,167.336,153.573,189.024,-103.749,0.045
19,CAOV_12907_G_I.tif:11385-01069,5.638E-6,174.496,138.438,211.404,-103.635,0.048
20,CAOV_12907_G_I.tif:11884-01045,7.666E-6,173.769,140.416,217.242,-101.628,0.066
21,CAOV_12907_G_I.tif:12686-01100,1.345E-5,160.329,135.359,205.385,-100.429,0.116
22,CAOV_12907_G_I.tif:13591-01083,1.021E-5,167.442,141.984,207.865,-102.710,0.088
23,CAOV_12907_G_I.tif:14361-01128,9.289E-6,167.403,137.945,206.208,-103.145,0.080
24,CAOV_12907_G_I.tif:15088-01103,9.924E-6,156.157,138.572,180.585,-103.088,0.085
25,CAOV_12907_G_I.tif:15828-01041,9.803E-6,159.582,119.149,195.801,-102.923,0.084
26,CAOV_12907_G_I.tif:16406-00989,5.503E-6,163.304,132.064,205.253,-103.968,0.047
