 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAOV_12907_G_II.tif:01527-01253,9.018E-6,121.467,72.574,217.376,-89.828,0.077
2,CAOV_12907_G_II.tif:02081-01281,5.936E-6,140.316,115.804,173.078,-88.692,0.051
3,CAOV_12907_G_II.tif:02533-01253,6.476E-6,147.053,102.449,172.298,-89.281,0.056
4,CAOV_12907_G_II.tif:03000-01282,6.233E-6,152.292,135.797,170.229,-88.008,0.054
5,CAOV_12907_G_II.tif:03501-01202,7.572E-6,154.711,134.797,170.219,-86.309,0.065
6,CAOV_12907_G_II.tif:04015-01170,6.476E-6,162.054,140.897,173.576,-87.604,0.056
7,CAOV_12907_G_II.tif:04435-01141,4.800E-6,157.418,138.802,177.729,-87.735,0.041
8,CAOV_12907_G_II.tif:05006-01183,1.067E-5,149.037,132.672,191.505,-88.401,0.092
9,CAOV_12907_G_II.tif:05708-01172,8.451E-6,152.929,140.090,173.068,-90.367,0.073
10,CAOV_12907_G_II.tif:06350-01200,8.883E-6,150.200,133.333,169.244,-87.905,0.076
11,CAOV_12907_G_II.tif:06967-01183,7.883E-6,155.289,131.622,179.963,-92.165,0.068
12,CAOV_12907_G_II.tif:07697-01196,1.184E-5,152.904,131.252,178.905,-92.097,0.102
13,CAOV_12907_G_II.tif:08561-01170,1.159E-5,150.591,128.111,174.787,-94.286,0.100
14,CAOV_12907_G_II.tif:09250-01148,7.234E-6,155.498,126.372,185.431,-94.300,0.062
15,CAOV_12907_G_II.tif:09869-01183,9.397E-6,151.607,91.281,183.285,-89.505,0.081
16,CAOV_12907_G_II.tif:10619-01209,1.080E-5,152.108,131.343,174.747,-89.856,0.093
17,CAOV_12907_G_II.tif:11341-01176,8.748E-6,160.210,132.333,193.333,-90.000,0.075
18,CAOV_12907_G_II.tif:11872-01199,5.855E-6,149.097,127.403,167.944,-89.204,0.050
19,CAOV_12907_G_II.tif:12325-01166,6.476E-6,157.728,133.667,193.000,-90.000,0.056
20,CAOV_12907_G_II.tif:12768-01176,5.544E-6,150.045,132.298,172.847,-93.366,0.048
21,CAOV_12907_G_II.tif:13270-01163,8.180E-6,151.882,126.068,171.045,-96.277,0.070
22,CAOV_12907_G_II.tif:13734-01184,4.367E-6,159.235,122.862,184.619,-100.751,0.037
23,CAOV_12907_G_II.tif:14157-01148,7.098E-6,154.546,130.357,193.365,-98.779,0.061
24,CAOV_12907_G_II.tif:14619-01188,5.138E-6,154.797,135.191,193.326,-93.029,0.044
25,CAOV_12907_G_II.tif:15099-01186,7.910E-6,153.283,132.532,186.880,-94.715,0.068
26,CAOV_12907_G_II.tif:15607-01190,5.895E-6,151.991,127.600,166.094,-98.466,0.051
27,CAOV_12907_G_II.tif:15931-01178,2.880E-6,130.527,83.045,168.390,-98.664,0.025
28,CAOV_12907_G_II.tif:16147-01186,2.880E-6,156.897,134.596,169.172,-98.664,0.025
29,CAOV_12907_G_II.tif:16376-01194,3.137E-6,157.967,142.978,175.146,-98.973,0.027
30,CAOV_12907_G_II.tif:16622-01180,3.556E-6,145.450,99.918,177.437,-97.883,0.031
31,CAOV_12907_G_II.tif:16951-01163,5.368E-6,156.313,128.376,200.106,-95.509,0.046
32,CAOV_12907_G_II.tif:17340-01145,5.449E-6,148.340,124.515,175.777,-95.994,0.047
33,CAOV_12907_G_II.tif:17858-01095,8.829E-6,150.104,110.080,174.364,-90.527,0.076
34,CAOV_12907_G_II.tif:18471-01138,7.937E-6,153.481,118.886,183.893,-88.045,0.068
