 ,Label,Area,Mean,Min,Max,Angle,Length
1,PODE_22099_A_II.tif:02781-00871,3.569E-6,168.642,141.576,194.035,-86.288,0.031
2,PODE_22099_A_II.tif:03075-00906,4.340E-6,176.404,152.333,195.800,-87.138,0.037
3,PODE_22099_A_II.tif:03338-00885,2.718E-6,178.026,150.963,200.600,-89.427,0.023
4,PODE_22099_A_II.tif:03518-00900,4.246E-6,173.691,150.020,200.756,-88.536,0.036
5,PODE_22099_A_II.tif:03882-00944,3.529E-6,177.269,154.654,197.962,-88.898,0.030
6,PODE_22099_A_II.tif:04122-00985,2.907E-6,173.308,147.168,197.464,-89.197,0.025
7,PODE_22099_A_II.tif:04368-01019,3.691E-6,173.127,151.603,198.426,-88.526,0.032
8,PODE_22099_A_II.tif:04634-01070,3.515E-6,173.585,153.560,197.235,-83.562,0.030
9,PODE_22099_A_II.tif:04873-01070,2.866E-6,175.507,151.495,195.582,-85.372,0.024
10,PODE_22099_A_II.tif:05118-01102,3.826E-6,172.093,157.604,191.084,-84.108,0.033
11,PODE_22099_A_II.tif:05454-01084,4.976E-6,170.855,142.872,197.310,-87.348,0.043
12,PODE_22099_A_II.tif:05862-01134,6.084E-6,178.590,152.627,201.000,-87.832,0.052
13,PODE_22099_A_II.tif:06277-01172,5.070E-6,172.608,148.618,198.918,-88.009,0.044
14,PODE_22099_A_II.tif:06645-01139,4.854E-6,169.335,146.752,192.385,-90.480,0.042
15,PODE_22099_A_II.tif:07099-01153,7.369E-6,172.073,145.542,203.517,-89.263,0.063
16,PODE_22099_A_II.tif:07576-01145,5.422E-6,168.657,149.000,190.707,-90.859,0.047
17,PODE_22099_A_II.tif:08030-01159,6.706E-6,172.952,149.915,197.594,-90.463,0.058
18,PODE_22099_A_II.tif:08569-01174,7.774E-6,174.418,147.362,199.499,-88.802,0.067
19,PODE_22099_A_II.tif:09080-01147,6.017E-6,173.556,148.748,199.477,-88.452,0.052
20,PODE_22099_A_II.tif:09519-01118,5.827E-6,169.198,144.801,187.861,-86.399,0.050
21,PODE_22099_A_II.tif:09930-01150,5.219E-6,176.033,143.842,203.064,-87.323,0.045
22,PODE_22099_A_II.tif:10283-01088,4.516E-6,172.234,155.751,197.640,-88.796,0.039
23,PODE_22099_A_II.tif:10652-01073,5.449E-6,168.748,142.648,192.667,-87.721,0.047
24,PODE_22099_A_II.tif:11093-01070,6.476E-6,163.548,144.509,188.908,-88.322,0.056
25,PODE_22099_A_II.tif:11458-01071,3.326E-6,166.700,141.748,184.156,-88.130,0.029
26,PODE_22099_A_II.tif:11780-01094,5.354E-6,172.151,148.338,196.515,-87.825,0.046
27,PODE_22099_A_II.tif:12125-01057,3.867E-6,171.624,150.670,192.839,-89.598,0.033
28,PODE_22099_A_II.tif:12510-01076,6.585E-6,164.904,144.926,188.243,-87.761,0.057
29,PODE_22099_A_II.tif:12931-01064,4.800E-6,170.705,145.751,194.316,-87.574,0.041
30,PODE_22099_A_II.tif:13311-01094,5.557E-6,165.632,147.549,195.036,-88.742,0.048
31,PODE_22099_A_II.tif:13735-01107,5.868E-6,171.545,146.535,196.037,-90.662,0.050
32,PODE_22099_A_II.tif:14201-01066,6.733E-6,168.013,142.828,192.895,-91.844,0.058
33,PODE_22099_A_II.tif:14610-01094,4.205E-6,168.239,150.026,185.003,-89.446,0.036
34,PODE_22099_A_II.tif:14980-01102,5.787E-6,162.350,136.667,195.000,-90.000,0.050
35,PODE_22099_A_II.tif:15394-01074,5.408E-6,155.135,127.714,186.354,-89.282,0.046
36,PODE_22099_A_II.tif:15776-01094,4.989E-6,156.192,122.736,186.476,-89.533,0.043
37,PODE_22099_A_II.tif:16156-01105,5.219E-6,149.379,115.442,190.048,-90.744,0.045
38,PODE_22099_A_II.tif:16547-01061,5.435E-6,152.385,121.569,189.750,-89.428,0.047
39,PODE_22099_A_II.tif:16903-01083,4.070E-6,153.398,119.533,189.316,-86.947,0.035
40,PODE_22099_A_II.tif:17217-01061,4.489E-6,153.807,127.899,185.801,-87.060,0.039
41,PODE_22099_A_II.tif:17552-01049,4.759E-6,142.167,119.261,178.185,-86.240,0.041
42,PODE_22099_A_II.tif:17940-01090,5.611E-6,140.284,116.594,187.329,-85.294,0.048
43,PODE_22099_A_II.tif:18294-01071,3.962E-6,151.784,122.499,179.382,-83.703,0.034
44,PODE_22099_A_II.tif:18668-01121,6.287E-6,143.298,112.348,188.651,-84.437,0.054
45,PODE_22099_A_II.tif:19116-01131,5.652E-6,141.985,117.579,179.002,-83.660,0.048
46,PODE_22099_A_II.tif:19692-01179,9.965E-6,141.915,105.850,182.227,-82.663,0.086
47,PODE_22099_A_II.tif:20714-01294,1.782E-5,132.862,95.607,175.146,-80.294,0.153
48,PODE_22099_A_II.tif:21731-01297,9.343E-6,146.850,118.896,194.274,-78.625,0.080
49,PODE_22099_A_II.tif:22541-01343,1.248E-5,146.087,103.008,189.620,-77.983,0.107
50,PODE_22099_A_II.tif:23383-01337,9.532E-6,145.419,115.032,182.069,-78.036,0.082
51,PODE_22099_A_II.tif:24298-01341,1.455E-5,140.777,108.359,178.311,-79.924,0.125
52,PODE_22099_A_II.tif:25635-01389,2.123E-5,138.907,104.736,180.727,-82.236,0.182
53,PODE_22099_A_II.tif:26714-01407,7.964E-6,148.405,101.803,186.733,-84.241,0.068
54,PODE_22099_A_II.tif:27424-01386,1.094E-5,146.513,104.740,187.061,-83.887,0.094
55,PODE_22099_A_II.tif:28159-01389,8.910E-6,147.688,107.166,190.088,-83.458,0.077
56,PODE_22099_A_II.tif:28892-01418,1.094E-5,147.482,113.582,178.592,-86.096,0.094
57,PODE_22099_A_II.tif:29612-01443,8.626E-6,149.043,111.917,182.898,-85.946,0.074
58,PODE_22099_A_II.tif:30246-01391,7.896E-6,144.707,114.010,181.890,-85.970,0.068
59,PODE_22099_A_II.tif:30784-01449,6.571E-6,144.047,109.560,175.332,-85.982,0.056
60,PODE_22099_A_II.tif:31193-01439,4.421E-6,148.266,121.833,171.955,-84.184,0.038
