 ,Label,Area,Mean,Min,Max,Angle,Length
1,QUAL_227-2011_A_I.tif:04418-00995,3.610E-6,153.813,123.687,171.852,-93.442,0.031
2,QUAL_227-2011_A_I.tif:04740-00995,4.692E-6,166.560,126.283,187.538,-92.648,0.040
3,QUAL_227-2011_A_I.tif:05064-00927,4.259E-6,167.012,137.333,192.000,-90.000,0.037
4,QUAL_227-2011_A_I.tif:05379-00918,4.232E-6,170.838,162.782,183.462,-88.898,0.036
5,QUAL_227-2011_A_I.tif:05681-00938,3.853E-6,168.214,134.925,192.033,-92.017,0.033
6,QUAL_227-2011_A_I.tif:05983-00946,4.124E-6,171.841,150.333,197.360,-91.884,0.035
7,QUAL_227-2011_A_I.tif:06279-00875,3.975E-6,172.564,157.407,189.972,-93.918,0.034
8,QUAL_227-2011_A_I.tif:06612-00889,4.611E-6,170.577,122.761,194.003,-95.408,0.039
9,QUAL_227-2011_A_I.tif:06940-00884,3.975E-6,156.832,120.335,183.489,-98.241,0.034
10,QUAL_227-2011_A_I.tif:07284-00851,5.327E-6,163.932,134.529,183.965,-101.139,0.046
11,QUAL_227-2011_A_I.tif:07693-00811,5.381E-6,154.967,86.614,179.611,-99.273,0.046
12,QUAL_227-2011_A_I.tif:08153-00790,6.814E-6,168.221,153.418,183.665,-96.617,0.059
13,QUAL_227-2011_A_I.tif:08617-00785,5.287E-6,161.157,131.649,172.193,-96.470,0.045
14,QUAL_227-2011_A_I.tif:09016-00832,4.070E-6,165.013,146.217,192.590,-95.749,0.035
15,QUAL_227-2011_A_I.tif:09350-00817,4.800E-6,160.087,131.060,174.633,-99.090,0.041
16,QUAL_227-2011_A_I.tif:09750-00800,5.733E-6,162.658,134.859,190.544,-101.735,0.049
17,QUAL_227-2011_A_I.tif:10146-00801,3.908E-6,164.873,152.273,176.850,-102.011,0.034
18,QUAL_227-2011_A_I.tif:10404-00781,2.731E-6,164.481,151.688,171.868,-100.305,0.023
19,QUAL_227-2011_A_I.tif:10662-00785,3.799E-6,154.620,132.361,171.864,-96.566,0.033
20,QUAL_227-2011_A_I.tif:10933-00795,3.164E-6,152.601,140.667,160.588,-94.927,0.027
21,QUAL_227-2011_A_I.tif:11229-00969,4.070E-6,154.642,109.027,183.800,-90.573,0.035
22,QUAL_227-2011_A_I.tif:11536-00979,4.151E-6,150.513,119.333,173.196,-90.749,0.036
23,QUAL_227-2011_A_I.tif:11874-01002,5.016E-6,147.936,112.908,192.416,-89.071,0.043
24,QUAL_227-2011_A_I.tif:12214-00983,4.259E-6,156.271,121.333,189.000,-90.000,0.037
25,QUAL_227-2011_A_I.tif:12551-01020,4.665E-6,130.091,97.333,164.411,-87.005,0.040
26,QUAL_227-2011_A_I.tif:12862-01003,3.718E-6,131.832,74.667,189.333,-90.000,0.032
27,QUAL_227-2011_A_I.tif:13162-01041,4.151E-6,152.658,118.667,188.824,-89.251,0.036
28,QUAL_227-2011_A_I.tif:13466-01065,3.935E-6,136.870,98.699,182.133,-89.210,0.034
29,QUAL_227-2011_A_I.tif:13830-01065,5.868E-6,136.512,94.877,180.140,-83.631,0.050
30,QUAL_227-2011_A_I.tif:14239-01073,5.070E-6,134.781,86.106,206.135,-83.863,0.044
31,QUAL_227-2011_A_I.tif:14621-01131,5.395E-6,144.797,114.556,189.010,-83.660,0.046
32,QUAL_227-2011_A_I.tif:15024-01158,5.692E-6,122.980,91.034,167.349,-77.619,0.049
33,QUAL_227-2011_A_I.tif:15458-01194,5.963E-6,142.313,116.810,183.554,-84.523,0.051
34,QUAL_227-2011_A_I.tif:15810-00890,5.354E-6,126.998,97.714,174.976,-86.225,0.046
35,QUAL_227-2011_A_I.tif:16244-00950,6.355E-6,139.972,111.333,189.405,-83.876,0.054
36,QUAL_227-2011_A_I.tif:16848-00960,9.789E-6,120.452,87.817,192.289,-86.355,0.084
37,QUAL_227-2011_A_I.tif:17497-01023,7.774E-6,136.497,90.332,188.969,-85.203,0.067
