 ,Label,Area,Mean,Min,Max,Angle,Length
1,QUAL_22886_D_I.tif:05178-01192,3.790E-6,163.074,118.333,184.747,-96.832,0.041
2,QUAL_22886_D_I.tif:05615-01175,3.773E-6,162.490,114.367,183.482,-97.125,0.040
3,QUAL_22886_D_I.tif:06026-01171,3.228E-6,165.010,140.535,188.900,-95.864,0.035
4,QUAL_22886_D_I.tif:06415-01085,3.531E-6,169.909,157.426,180.834,-96.496,0.038
5,QUAL_22886_D_I.tif:06856-01088,3.972E-6,165.439,123.961,188.894,-92.001,0.043
6,QUAL_22886_D_I.tif:07407-01103,5.555E-6,164.748,103.444,184.383,-92.684,0.060
7,QUAL_22886_D_I.tif:08037-01091,5.296E-6,156.608,119.564,184.000,-95.449,0.057
8,QUAL_22886_D_I.tif:08726-01051,6.724E-6,167.228,145.010,185.675,-94.285,0.072
9,QUAL_22886_D_I.tif:09434-01066,5.495E-6,168.703,149.614,181.518,-89.639,0.059
10,QUAL_22886_D_I.tif:10149-01010,6.827E-6,166.732,125.692,187.702,-91.454,0.073
11,QUAL_22886_D_I.tif:10922-01015,6.611E-6,166.100,152.459,184.983,-93.455,0.071
12,QUAL_22886_D_I.tif:11755-00999,7.736E-6,160.446,140.060,186.600,-92.952,0.083
13,QUAL_22886_D_I.tif:12599-01019,6.966E-6,164.822,137.010,194.990,-91.567,0.075
14,QUAL_22886_D_I.tif:13389-01011,6.732E-6,156.836,78.854,178.072,-92.509,0.072
15,QUAL_22886_D_I.tif:14110-01023,5.737E-6,152.363,124.126,179.023,-91.558,0.062
16,QUAL_22886_D_I.tif:14992-01078,9.449E-6,132.528,63.526,164.722,-88.108,0.101
17,QUAL_22886_D_I.tif:16074-01076,9.380E-6,127.382,94.583,157.980,-88.094,0.101
18,QUAL_22886_D_I.tif:16987-01118,6.447E-6,138.802,79.344,189.957,-90.308,0.069
19,QUAL_22886_D_I.tif:17800-01078,7.572E-6,136.224,105.744,185.293,-88.165,0.081
20,QUAL_22886_D_I.tif:18601-01145,6.308E-6,149.328,89.782,177.147,-88.269,0.068
21,QUAL_22886_D_I.tif:19416-01168,7.849E-6,141.371,110.097,185.373,-90.253,0.084
22,QUAL_22886_D_I.tif:20195-01188,5.616E-6,141.458,112.728,190.181,-91.414,0.060
23,QUAL_22886_D_I.tif:20950-01152,7.468E-6,130.211,84.034,189.925,-89.202,0.080
24,QUAL_22886_D_I.tif:21961-01131,9.986E-6,140.606,74.798,185.262,-87.515,0.107
25,QUAL_22886_D_I.tif:23092-01114,9.588E-6,131.762,90.274,180.608,-88.136,0.103
26,QUAL_22886_D_I.tif:23978-01173,5.607E-6,142.100,100.037,189.387,-93.013,0.060
27,QUAL_22886_D_I.tif:24712-01212,6.949E-6,113.779,76.667,152.000,-90.000,0.075
28,QUAL_22886_D_I.tif:25425-01154,5.339E-6,146.358,105.394,189.134,-90.372,0.057
29,QUAL_22886_D_I.tif:26072-01216,5.884E-6,138.355,99.897,163.146,-93.376,0.063
30,QUAL_22886_D_I.tif:26674-01206,4.500E-6,148.129,114.122,188.182,-92.653,0.048
31,QUAL_22886_D_I.tif:27292-01252,6.161E-6,142.533,82.877,178.173,-92.258,0.066
32,QUAL_22886_D_I.tif:28004-01262,6.204E-6,139.335,106.773,178.253,-90.960,0.067
33,QUAL_22886_D_I.tif:28771-01306,6.931E-6,136.712,82.867,185.793,-87.995,0.074
34,QUAL_22886_D_I.tif:29500-01265,5.443E-6,128.345,74.760,168.262,-85.797,0.058
35,QUAL_22886_D_I.tif:30319-01330,8.766E-6,130.064,83.435,172.847,-88.415,0.094
