 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACRU_1196-84_A_I.tif:01807-00757,1.868E-5,201.807,175.464,232.188,-86.156,0.120
2,ACRU_1196-84_A_I.tif:02765-00777,2.750E-5,208.870,187.602,236.621,-87.193,0.177
3,ACRU_1196-84_A_I.tif:03623-00779,1.373E-5,213.343,179.000,239.418,-87.790,0.088
4,ACRU_1196-84_A_I.tif:04675-00739,3.656E-5,211.490,187.812,236.856,-83.577,0.236
5,ACRU_1196-84_A_I.tif:05665-00705,1.029E-5,204.788,174.810,229.897,-81.376,0.066
6,ACRU_1196-84_A_I.tif:06228-00675,1.690E-5,206.466,182.064,234.815,-78.498,0.109
7,ACRU_1196-84_A_I.tif:06851-00607,1.159E-5,204.302,183.427,230.265,-78.480,0.075
8,ACRU_1196-84_A_I.tif:07299-00667,1.017E-5,201.250,179.126,224.567,-78.530,0.065
9,ACRU_1196-84_A_I.tif:07626-00693,5.817E-6,209.394,188.178,225.076,-76.310,0.037
10,ACRU_1196-84_A_I.tif:08082-00719,1.512E-5,202.681,160.518,228.871,-77.026,0.097
11,ACRU_1196-84_A_I.tif:08853-00765,2.048E-5,204.459,179.010,234.275,-76.551,0.132
12,ACRU_1196-84_A_I.tif:09775-00719,2.144E-5,194.525,174.695,230.745,-83.234,0.138
13,ACRU_1196-84_A_I.tif:10843-00689,2.870E-5,195.078,157.188,243.364,-83.358,0.185
14,ACRU_1196-84_A_I.tif:11743-00721,1.435E-5,199.711,176.933,230.945,-82.768,0.092
15,ACRU_1196-84_A_I.tif:12583-00732,2.560E-5,198.036,175.727,224.958,-84.177,0.165
16,ACRU_1196-84_A_I.tif:13972-00599,3.969E-5,189.839,161.738,237.480,-86.560,0.256
17,ACRU_1196-84_A_I.tif:15277-00626,2.284E-5,194.814,169.155,225.097,-84.740,0.147
18,ACRU_1196-84_A_I.tif:15893-00644,6.394E-6,193.342,174.024,208.589,-84.161,0.041
19,ACRU_1196-84_A_I.tif:16395-00608,1.716E-5,190.075,163.477,219.195,-83.074,0.111
20,ACRU_1196-84_A_I.tif:17247-00605,2.296E-5,172.611,125.418,208.710,-82.227,0.148
21,ACRU_1196-84_A_I.tif:18530-00621,3.786E-5,135.993,105.721,230.841,-79.011,0.244
22,ACRU_1196-84_A_I.tif:20399-00580,4.858E-5,154.865,114.765,226.234,-89.092,0.313
23,ACRU_1196-84_A_I.tif:22019-00633,2.957E-5,154.652,114.259,185.924,-84.679,0.191
24,ACRU_1196-84_A_I.tif:22840-00644,9.735E-6,147.324,117.908,200.366,-87.166,0.063
25,ACRU_1196-84_A_I.tif:23396-00636,1.666E-5,160.144,115.946,207.624,-88.014,0.107
26,ACRU_1196-84_A_I.tif:24253-00623,2.478E-5,151.948,118.955,237.663,-89.444,0.160
27,ACRU_1196-84_A_I.tif:25032-00607,1.284E-5,159.044,133.654,192.754,-85.914,0.083
28,ACRU_1196-84_A_I.tif:25684-00577,1.808E-5,148.318,114.501,194.142,-84.654,0.116
29,ACRU_1196-84_A_I.tif:26479-00604,2.029E-5,134.977,103.442,180.514,-87.552,0.131
30,ACRU_1196-84_A_I.tif:27073-00659,8.749E-6,149.087,96.043,196.904,-85.892,0.056
31,ACRU_1196-84_A_I.tif:27825-00652,2.719E-5,148.152,110.343,193.177,-85.329,0.175
32,ACRU_1196-84_A_I.tif:28460-00666,3.221E-6,147.651,120.119,183.614,-83.089,0.021
33,ACRU_1196-84_A_I.tif:28835-00672,1.483E-5,148.685,123.988,215.166,-85.530,0.095
34,ACRU_1196-84_A_I.tif:29431-00693,1.368E-5,153.162,107.144,186.261,-85.354,0.088
35,ACRU_1196-84_A_I.tif:30227-00733,2.464E-5,144.587,93.910,191.516,-80.667,0.159
36,ACRU_1196-84_A_I.tif:31046-00805,1.466E-5,135.487,103.365,165.048,-81.497,0.094
