 ,Label,Area,Mean,Min,Max,Angle,Length
1,AEFL_12651_I_II.tif:05035-00447,1.389E-5,190.003,150.924,237.418,-62.103,0.089
2,AEFL_12651_I_II.tif:05854-00749,2.733E-5,196.381,144.976,231.730,-63.841,0.176
3,AEFL_12651_I_II.tif:07192-00584,2.497E-5,191.188,136.325,239.345,-68.475,0.161
4,AEFL_12651_I_II.tif:08037-00590,1.178E-5,192.989,165.986,220.658,-68.003,0.076
5,AEFL_12651_I_II.tif:08497-00695,1.060E-5,195.761,148.139,233.276,-67.981,0.068
6,AEFL_12651_I_II.tif:08965-00693,9.543E-6,193.566,162.634,224.796,-67.714,0.061
7,AEFL_12651_I_II.tif:09240-00736,2.740E-6,199.492,148.374,232.909,-67.068,0.018
8,AEFL_12651_I_II.tif:09535-00754,1.043E-5,195.832,168.937,235.329,-67.757,0.067
9,AEFL_12651_I_II.tif:10081-00763,1.305E-5,193.519,158.287,230.810,-66.274,0.084
10,AEFL_12651_I_II.tif:10843-00869,2.226E-5,197.644,158.813,236.973,-69.683,0.143
11,AEFL_12651_I_II.tif:11642-00716,9.807E-6,194.996,159.501,243.157,-73.301,0.063
12,AEFL_12651_I_II.tif:12049-00785,9.519E-6,194.369,157.365,227.461,-69.087,0.061
13,AEFL_12651_I_II.tif:12809-00741,2.192E-5,194.234,134.478,237.183,-72.759,0.141
14,AEFL_12651_I_II.tif:13838-00918,2.658E-5,196.864,152.434,229.363,-73.926,0.171
15,AEFL_12651_I_II.tif:15293-00815,3.731E-5,197.488,138.791,239.725,-77.147,0.240
16,AEFL_12651_I_II.tif:16441-00801,1.401E-5,195.484,134.744,240.485,-74.460,0.090
17,AEFL_12651_I_II.tif:16981-00849,1.178E-5,201.447,164.237,230.991,-77.242,0.076
18,AEFL_12651_I_II.tif:17384-00909,7.764E-6,198.577,171.501,238.890,-75.964,0.050
19,AEFL_12651_I_II.tif:17897-00873,1.536E-5,198.878,160.831,242.652,-78.056,0.099
20,AEFL_12651_I_II.tif:18443-00845,9.278E-6,196.341,150.893,247.893,-78.778,0.060
21,AEFL_12651_I_II.tif:18776-00849,6.466E-6,194.831,173.000,224.425,-79.695,0.042
22,AEFL_12651_I_II.tif:19039-00920,6.851E-6,190.789,151.776,217.965,-79.641,0.044
23,AEFL_12651_I_II.tif:19324-00875,5.673E-6,194.980,158.923,221.169,-78.977,0.036
24,AEFL_12651_I_II.tif:19613-00873,8.389E-6,195.536,167.000,238.996,-79.077,0.054
25,AEFL_12651_I_II.tif:19924-00879,6.033E-6,200.115,171.705,234.405,-76.130,0.039
26,AEFL_12651_I_II.tif:20260-00891,1.014E-5,196.070,164.428,221.589,-77.648,0.065
27,AEFL_12651_I_II.tif:20785-00858,1.416E-5,194.349,163.996,221.581,-80.009,0.091
28,AEFL_12651_I_II.tif:21338-00914,1.255E-5,196.634,156.395,220.036,-81.730,0.081
29,AEFL_12651_I_II.tif:21835-00945,1.168E-5,198.920,173.208,227.198,-79.315,0.075
30,AEFL_12651_I_II.tif:22409-00899,1.401E-5,190.723,160.560,235.878,-78.400,0.090
31,AEFL_12651_I_II.tif:22913-00960,1.022E-5,188.155,138.950,228.771,-77.735,0.066
32,AEFL_12651_I_II.tif:23386-00893,1.171E-5,191.485,169.346,226.150,-78.968,0.075
33,AEFL_12651_I_II.tif:23758-00926,5.961E-6,193.186,169.484,226.332,-79.509,0.038
34,AEFL_12651_I_II.tif:24097-00878,9.447E-6,192.968,141.883,236.676,-80.754,0.061
35,AEFL_12651_I_II.tif:24511-00851,1.007E-5,188.551,155.215,227.609,-79.658,0.065
36,AEFL_12651_I_II.tif:24937-00960,1.113E-5,189.069,156.282,221.966,-78.763,0.072
37,AEFL_12651_I_II.tif:25439-00882,1.123E-5,194.537,155.034,232.820,-78.111,0.072
38,AEFL_12651_I_II.tif:26048-00939,1.815E-5,191.061,152.020,222.070,-78.064,0.117
39,AEFL_12651_I_II.tif:26902-01008,2.279E-5,192.510,152.880,221.083,-80.150,0.147
40,AEFL_12651_I_II.tif:27814-01034,2.009E-5,195.723,164.136,220.677,-78.609,0.130
41,AEFL_12651_I_II.tif:28871-00998,2.841E-5,194.697,131.093,232.194,-82.261,0.183
42,AEFL_12651_I_II.tif:30140-01010,3.235E-5,192.439,152.260,237.837,-84.239,0.208
43,AEFL_12651_I_II.tif:32162-01113,6.495E-5,198.270,153.923,232.728,-85.923,0.419
44,AEFL_12651_I_II.tif:34533-01067,4.711E-5,199.533,167.009,247.886,-80.033,0.304
