 ,Label,Area,Mean,Min,Max,Angle,Length
1,AEFL_925-79_B_I.tif:03358-00621,1.663E-5,227.161,193.333,242.527,-83.348,0.107
2,AEFL_925-79_B_I.tif:04013-00670,1.493E-5,226.093,209.619,242.670,-83.333,0.096
3,AEFL_925-79_B_I.tif:04554-00672,1.074E-5,221.804,205.489,237.444,-80.453,0.069
4,AEFL_925-79_B_I.tif:05191-00714,1.993E-5,222.861,201.077,243.184,-83.064,0.128
5,AEFL_925-79_B_I.tif:05941-00739,1.596E-5,221.477,203.968,242.422,-84.289,0.103
6,AEFL_925-79_B_I.tif:06904-00800,3.038E-5,220.222,194.061,245.165,-84.777,0.196
7,AEFL_925-79_B_I.tif:07913-00637,1.666E-5,214.973,193.392,236.272,-86.021,0.107
8,AEFL_925-79_B_I.tif:08697-00660,2.098E-5,217.340,190.783,245.226,-85.858,0.135
9,AEFL_925-79_B_I.tif:09441-00628,1.437E-5,210.739,186.701,235.074,-86.639,0.093
10,AEFL_925-79_B_I.tif:10292-00680,2.661E-5,210.405,179.634,242.203,-83.877,0.172
11,AEFL_925-79_B_I.tif:11353-00737,2.464E-5,209.049,111.475,237.181,-84.284,0.159
12,AEFL_925-79_B_I.tif:12482-00652,2.848E-5,209.232,176.265,241.912,-81.357,0.184
13,AEFL_925-79_B_I.tif:13557-00615,2.250E-5,209.505,176.498,234.825,-82.814,0.145
14,AEFL_925-79_B_I.tif:14504-00704,2.305E-5,204.367,174.339,244.676,-83.528,0.149
15,AEFL_925-79_B_I.tif:15676-00654,3.247E-5,202.804,167.536,246.104,-82.380,0.209
16,AEFL_925-79_B_I.tif:17338-00749,4.743E-5,202.680,111.001,240.253,-81.574,0.306
17,AEFL_925-79_B_I.tif:19394-00857,5.134E-5,193.915,142.946,237.704,-81.517,0.331
18,AEFL_925-79_B_I.tif:21338-00698,3.832E-5,203.367,158.019,232.066,-71.667,0.247
19,AEFL_925-79_B_I.tif:23606-00860,5.281E-5,185.232,130.373,237.840,-60.983,0.340
