 ,Label,Area,Mean,Min,Max,Angle,Length
1,BENI_1199_D_I.tif:02538-00654,5.192E-6,187.106,165.738,250.917,-101.834,0.033
2,BENI_1199_D_I.tif:02931-00595,1.365E-5,188.245,161.826,216.013,-102.836,0.088
3,BENI_1199_D_I.tif:03300-00531,4.303E-6,187.409,168.000,203.074,-106.299,0.028
4,BENI_1199_D_I.tif:03531-00519,5.985E-6,186.494,132.355,211.724,-107.340,0.038
5,BENI_1199_D_I.tif:03725-00495,2.884E-6,183.018,158.673,202.261,-108.130,0.018
6,BENI_1199_D_I.tif:03897-00469,5.264E-6,182.430,161.721,230.944,-107.103,0.034
7,BENI_1199_D_I.tif:04114-00445,4.855E-6,183.363,158.409,213.737,-104.105,0.031
8,BENI_1199_D_I.tif:04336-00419,5.649E-6,181.216,151.551,198.398,-101.070,0.036
9,BENI_1199_D_I.tif:04540-00395,4.110E-6,181.738,158.439,204.932,-97.796,0.026
10,BENI_1199_D_I.tif:04780-00375,7.355E-6,184.149,162.841,204.096,-99.617,0.047
11,BENI_1199_D_I.tif:05105-00345,8.197E-6,182.831,158.791,218.318,-100.350,0.053
12,BENI_1199_D_I.tif:05536-00375,1.219E-5,180.270,159.946,206.810,-99.220,0.078
13,BENI_1199_D_I.tif:05960-00362,7.884E-6,179.621,141.427,207.389,-97.907,0.051
14,BENI_1199_D_I.tif:06250-00342,5.937E-6,177.091,152.787,203.370,-100.305,0.038
15,BENI_1199_D_I.tif:06540-00319,8.004E-6,172.459,98.594,193.244,-99.009,0.051
16,BENI_1199_D_I.tif:06959-00469,1.166E-5,177.117,145.868,223.406,-100.241,0.075
17,BENI_1199_D_I.tif:07422-00434,1.043E-5,179.970,130.379,226.062,-102.687,0.067
18,BENI_1199_D_I.tif:07780-00381,6.706E-6,172.626,124.637,193.840,-103.736,0.043
19,BENI_1199_D_I.tif:08049-00333,6.322E-6,176.692,123.020,203.345,-101.653,0.041
20,BENI_1199_D_I.tif:08322-00308,6.706E-6,171.844,107.818,205.660,-104.136,0.043
21,BENI_1199_D_I.tif:08685-00313,9.807E-6,163.184,82.523,220.956,-102.331,0.063
22,BENI_1199_D_I.tif:09187-00286,1.360E-5,170.296,121.948,211.142,-102.584,0.088
23,BENI_1199_D_I.tif:09642-00291,6.995E-6,165.916,133.276,192.233,-107.436,0.045
24,BENI_1199_D_I.tif:09991-00304,8.629E-6,160.386,71.683,191.284,-106.055,0.055
25,BENI_1199_D_I.tif:10279-00296,5.000E-6,157.768,75.955,193.321,-104.842,0.032
26,BENI_1199_D_I.tif:10419-00315,1.610E-6,171.344,158.000,189.789,-103.191,0.010
27,BENI_1199_D_I.tif:10572-00317,5.384E-6,165.310,98.356,190.764,-104.286,0.035
28,BENI_1199_D_I.tif:10724-00310,1.755E-6,167.207,151.593,177.861,-104.421,0.011
29,BENI_1199_D_I.tif:10913-00307,7.211E-6,163.578,100.805,184.615,-101.385,0.046
30,BENI_1199_D_I.tif:11123-00295,2.788E-6,165.842,88.600,222.515,-99.545,0.018
31,BENI_1199_D_I.tif:11252-00305,3.293E-6,175.073,160.217,194.513,-100.981,0.021
32,BENI_1199_D_I.tif:11372-00310,2.428E-6,158.880,106.895,189.027,-103.339,0.015
33,BENI_1199_D_I.tif:11526-00313,4.928E-6,163.283,114.880,197.634,-101.585,0.032
34,BENI_1199_D_I.tif:11705-00315,3.101E-6,167.699,144.326,193.283,-107.728,0.020
