 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAGL_20098_A_I.tif:01853-00576,1.344E-5,172.734,123.333,195.377,-81.754,0.086
2,CAGL_20098_A_I.tif:02270-00584,6.226E-6,185.264,140.295,221.519,-87.337,0.040
3,CAGL_20098_A_I.tif:02540-00580,6.706E-6,177.482,135.808,229.559,-88.352,0.043
4,CAGL_20098_A_I.tif:02856-00595,8.629E-6,186.254,152.493,216.618,-90.960,0.056
5,CAGL_20098_A_I.tif:03238-00606,9.879E-6,197.129,176.306,216.522,-90.559,0.064
6,CAGL_20098_A_I.tif:03755-00625,1.512E-5,177.816,152.298,206.419,-90.912,0.097
7,CAGL_20098_A_I.tif:04319-00625,1.214E-5,176.750,150.901,212.548,-92.499,0.078
8,CAGL_20098_A_I.tif:04840-00623,1.286E-5,184.111,145.617,206.352,-91.502,0.083
9,CAGL_20098_A_I.tif:05259-00593,7.524E-6,176.883,148.654,213.346,-91.836,0.048
10,CAGL_20098_A_I.tif:05671-00609,1.226E-5,174.557,152.825,200.451,-92.930,0.079
11,CAGL_20098_A_I.tif:06178-00555,1.223E-5,169.188,143.090,238.019,-94.745,0.079
12,CAGL_20098_A_I.tif:06662-00560,1.086E-5,172.053,150.932,196.256,-93.560,0.070
13,CAGL_20098_A_I.tif:06990-00569,4.423E-6,180.495,122.504,220.138,-96.892,0.028
14,CAGL_20098_A_I.tif:07181-00573,4.471E-6,191.532,173.689,207.710,-95.587,0.029
15,CAGL_20098_A_I.tif:07474-00582,9.615E-6,176.432,154.101,219.302,-92.877,0.062
16,CAGL_20098_A_I.tif:07887-00578,1.005E-5,180.533,156.190,231.646,-94.399,0.065
17,CAGL_20098_A_I.tif:08513-00577,1.993E-5,179.237,150.345,232.859,-91.522,0.128
18,CAGL_20098_A_I.tif:09137-00591,9.927E-6,180.017,161.110,199.485,-91.946,0.064
19,CAGL_20098_A_I.tif:09548-00589,9.999E-6,184.709,159.583,211.206,-93.594,0.064
20,CAGL_20098_A_I.tif:09933-00588,8.509E-6,179.263,156.518,220.007,-93.900,0.055
21,CAGL_20098_A_I.tif:10431-00577,1.553E-5,176.665,150.273,209.766,-92.312,0.100
22,CAGL_20098_A_I.tif:11065-00590,1.464E-5,175.402,148.333,202.057,-91.131,0.094
23,CAGL_20098_A_I.tif:11768-00580,1.933E-5,176.154,151.383,210.678,-93.140,0.125
24,CAGL_20098_A_I.tif:12497-00566,1.562E-5,174.904,138.637,208.969,-93.884,0.101
25,CAGL_20098_A_I.tif:13244-00533,2.070E-5,153.054,92.602,200.511,-93.601,0.133
26,CAGL_20098_A_I.tif:13848-00531,7.980E-6,123.948,76.057,160.527,-95.194,0.051
27,CAGL_20098_A_I.tif:14213-00525,9.398E-6,135.371,99.273,164.877,-96.178,0.061
28,CAGL_20098_A_I.tif:14572-00508,8.100E-6,137.908,71.454,211.343,-95.473,0.052
29,CAGL_20098_A_I.tif:14963-00499,1.062E-5,137.045,65.533,201.719,-93.382,0.068
30,CAGL_20098_A_I.tif:15310-00502,5.841E-6,156.160,125.333,212.937,-90.947,0.038
31,CAGL_20098_A_I.tif:15592-00486,7.764E-6,145.010,105.716,207.957,-88.577,0.050
32,CAGL_20098_A_I.tif:15943-00475,9.158E-6,123.860,99.751,147.054,-90.302,0.059
33,CAGL_20098_A_I.tif:16302-00492,8.437E-6,128.608,101.650,173.891,-89.345,0.054
34,CAGL_20098_A_I.tif:16638-00506,7.860E-6,140.080,107.481,181.288,-91.406,0.051
35,CAGL_20098_A_I.tif:16990-00515,9.302E-6,133.053,98.789,157.630,-92.077,0.060
36,CAGL_20098_A_I.tif:17351-00533,8.197E-6,132.446,103.773,154.812,-90.337,0.053
37,CAGL_20098_A_I.tif:17680-00508,7.476E-6,118.985,92.077,166.226,-88.522,0.048
38,CAGL_20098_A_I.tif:17979-00530,7.043E-6,123.038,103.283,146.073,-89.215,0.045
39,CAGL_20098_A_I.tif:18236-00548,5.360E-6,125.788,99.126,154.303,-88.968,0.034
40,CAGL_20098_A_I.tif:18478-00535,6.129E-6,129.907,76.467,169.932,-89.549,0.039
41,CAGL_20098_A_I.tif:18716-00556,5.745E-6,123.720,66.826,171.098,-87.114,0.037
42,CAGL_20098_A_I.tif:18926-00547,4.303E-6,138.879,109.124,204.330,-86.785,0.028
43,CAGL_20098_A_I.tif:19154-00538,6.802E-6,150.257,120.199,199.714,-86.753,0.044
44,CAGL_20098_A_I.tif:19496-00569,9.975E-6,135.384,95.029,174.406,-87.510,0.064
45,CAGL_20098_A_I.tif:19959-00559,1.243E-5,113.141,67.008,187.853,-89.334,0.080
46,CAGL_20098_A_I.tif:20389-00587,8.197E-6,137.296,101.839,178.243,-87.642,0.053
47,CAGL_20098_A_I.tif:20799-00575,1.149E-5,136.304,89.131,199.676,-87.354,0.074
48,CAGL_20098_A_I.tif:21214-00580,8.629E-6,129.170,102.551,176.683,-87.441,0.056
49,CAGL_20098_A_I.tif:21719-00569,1.570E-5,134.411,106.368,198.846,-88.770,0.101
50,CAGL_20098_A_I.tif:22309-00592,1.291E-5,134.595,103.493,224.050,-89.572,0.083
