 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAOV_12907_I_II.tif:02429-00765,8.653E-6,177.381,154.000,213.009,-88.723,0.056
2,CAOV_12907_I_II.tif:02768-00794,7.788E-6,187.712,166.878,215.915,-88.404,0.050
3,CAOV_12907_I_II.tif:03058-00812,6.153E-6,165.546,96.941,232.667,-89.101,0.040
4,CAOV_12907_I_II.tif:03309-00805,5.985E-6,182.308,154.258,208.054,-88.152,0.038
5,CAOV_12907_I_II.tif:03579-00826,6.947E-6,187.067,163.296,212.000,-88.409,0.045
6,CAOV_12907_I_II.tif:03855-00846,6.394E-6,182.020,162.081,208.283,-88.271,0.041
7,CAOV_12907_I_II.tif:04144-00840,7.668E-6,170.339,75.884,243.491,-88.019,0.049
8,CAOV_12907_I_II.tif:04405-00824,4.880E-6,156.633,103.264,199.581,-87.166,0.031
9,CAOV_12907_I_II.tif:04614-00848,5.432E-6,194.422,159.333,219.778,-88.727,0.035
10,CAOV_12907_I_II.tif:04837-00838,5.384E-6,188.836,164.275,217.115,-86.135,0.034
11,CAOV_12907_I_II.tif:05079-00863,6.346E-6,181.496,130.866,213.876,-88.693,0.041
12,CAOV_12907_I_II.tif:05328-00849,5.697E-6,193.443,156.870,216.076,-87.816,0.037
13,CAOV_12907_I_II.tif:05602-00821,7.067E-6,185.318,157.830,215.294,-88.631,0.045
14,CAOV_12907_I_II.tif:05884-00837,6.562E-6,192.089,152.958,220.303,-89.789,0.042
15,CAOV_12907_I_II.tif:06185-00815,7.860E-6,185.134,130.796,231.123,-90.703,0.051
16,CAOV_12907_I_II.tif:06459-00799,5.336E-6,177.738,117.582,224.819,-89.741,0.034
17,CAOV_12907_I_II.tif:06751-00775,8.774E-6,186.923,129.333,229.667,-90.000,0.056
18,CAOV_12907_I_II.tif:07044-00766,5.553E-6,184.431,123.667,218.667,-90.000,0.036
19,CAOV_12907_I_II.tif:07304-00784,7.091E-6,172.554,114.578,204.905,-89.415,0.046
20,CAOV_12907_I_II.tif:07594-00816,6.971E-6,181.828,142.667,230.867,-89.009,0.045
21,CAOV_12907_I_II.tif:07928-00802,8.990E-6,188.538,151.667,240.010,-88.618,0.058
22,CAOV_12907_I_II.tif:08258-00826,6.778E-6,172.124,125.955,213.272,-86.741,0.044
23,CAOV_12907_I_II.tif:08560-00818,7.860E-6,173.745,147.637,203.609,-88.770,0.051
24,CAOV_12907_I_II.tif:08874-00829,7.427E-6,175.256,154.524,218.346,-91.116,0.048
25,CAOV_12907_I_II.tif:09289-00851,1.223E-5,186.731,147.143,229.711,-88.534,0.079
26,CAOV_12907_I_II.tif:09714-00839,8.173E-6,174.361,146.850,245.159,-87.973,0.053
27,CAOV_12907_I_II.tif:10104-00825,1.058E-5,179.446,134.543,214.897,-90.914,0.068
28,CAOV_12907_I_II.tif:10443-00794,5.889E-6,177.490,142.585,207.459,-90.939,0.038
29,CAOV_12907_I_II.tif:10695-00805,6.153E-6,174.612,130.980,225.089,-90.225,0.040
30,CAOV_12907_I_II.tif:10988-00811,8.004E-6,178.811,145.024,205.472,-91.035,0.051
31,CAOV_12907_I_II.tif:11278-00791,5.985E-6,183.222,165.344,204.374,-92.309,0.038
32,CAOV_12907_I_II.tif:11616-00794,1.034E-5,173.819,146.970,201.897,-91.602,0.067
33,CAOV_12907_I_II.tif:11973-00802,6.730E-6,174.856,149.762,201.185,-92.258,0.043
34,CAOV_12907_I_II.tif:12267-00770,7.403E-6,178.184,147.974,231.186,-90.746,0.048
35,CAOV_12907_I_II.tif:12561-00781,6.875E-6,171.799,141.556,202.298,-91.005,0.044
36,CAOV_12907_I_II.tif:12915-00755,1.031E-5,178.774,146.617,210.196,-92.675,0.066
37,CAOV_12907_I_II.tif:13331-00758,9.855E-6,177.810,145.939,221.602,-91.261,0.063
38,CAOV_12907_I_II.tif:13650-00759,5.408E-6,173.605,147.164,201.848,-92.556,0.035
39,CAOV_12907_I_II.tif:13881-00771,5.721E-6,174.976,145.183,208.755,-92.657,0.037
40,CAOV_12907_I_II.tif:14092-00749,4.663E-6,169.068,131.767,215.316,-90.594,0.030
41,CAOV_12907_I_II.tif:14281-00765,4.519E-6,162.641,112.676,204.610,-92.450,0.029
42,CAOV_12907_I_II.tif:14476-00743,4.807E-6,168.847,132.201,225.385,-91.152,0.031
43,CAOV_12907_I_II.tif:14676-00749,4.615E-6,178.008,136.977,220.583,-92.099,0.030
44,CAOV_12907_I_II.tif:14830-00721,3.029E-6,173.997,145.675,192.936,-93.662,0.019
45,CAOV_12907_I_II.tif:14996-00722,4.976E-6,169.023,140.294,204.039,-93.611,0.032
46,CAOV_12907_I_II.tif:15164-00725,3.053E-6,168.525,145.778,200.519,-91.818,0.020
47,CAOV_12907_I_II.tif:15323-00710,4.567E-6,165.240,133.335,202.344,-91.515,0.029
48,CAOV_12907_I_II.tif:15502-00722,4.182E-6,167.993,146.435,229.137,-91.655,0.027
49,CAOV_12907_I_II.tif:15694-00729,5.096E-6,145.652,112.725,212.809,-91.900,0.033
50,CAOV_12907_I_II.tif:15914-00737,5.553E-6,110.945,83.333,173.667,-90.000,0.036
51,CAOV_12907_I_II.tif:16144-00751,5.504E-6,121.939,81.424,220.083,-91.256,0.035
52,CAOV_12907_I_II.tif:16336-00754,3.798E-6,114.914,87.692,169.406,-92.189,0.024
53,CAOV_12907_I_II.tif:16529-00767,5.625E-6,115.735,40.931,193.069,-89.262,0.036
54,CAOV_12907_I_II.tif:16706-00782,3.101E-6,126.431,106.065,167.581,-89.552,0.020
55,CAOV_12907_I_II.tif:16839-00790,3.485E-6,129.825,102.521,167.361,-91.193,0.022
56,CAOV_12907_I_II.tif:16968-00756,2.788E-6,114.281,62.290,162.205,-95.511,0.018
57,CAOV_12907_I_II.tif:17110-00756,4.038E-6,124.958,95.699,183.501,-92.058,0.026
58,CAOV_12907_I_II.tif:17275-00763,4.014E-6,130.558,102.080,199.068,-91.035,0.026
59,CAOV_12907_I_II.tif:17491-00761,6.490E-6,124.166,97.855,217.559,-94.480,0.042
60,CAOV_12907_I_II.tif:17759-00762,6.370E-6,126.566,96.583,182.500,-92.386,0.041
61,CAOV_12907_I_II.tif:18029-00766,6.706E-6,124.765,86.731,199.199,-90.824,0.043
