 ,Label,Area,Mean,Min,Max,Angle,Length
1,TIAM_1323-82_A_I.tif:03324-00504,3.675E-5,189.366,114.667,228.248,-78.219,0.237
2,TIAM_1323-82_A_I.tif:05262-00625,5.447E-5,195.725,127.847,231.158,-80.854,0.351
3,TIAM_1323-82_A_I.tif:07740-00712,6.298E-5,199.251,151.238,247.103,-81.746,0.406
4,TIAM_1323-82_A_I.tif:10400-00720,6.389E-5,199.423,156.756,244.175,-83.517,0.412
5,TIAM_1323-82_A_I.tif:12818-00756,5.281E-5,193.196,143.215,225.579,-89.687,0.340
6,TIAM_1323-82_A_I.tif:15548-00693,7.908E-5,193.114,149.680,241.468,-88.850,0.510
7,TIAM_1323-82_A_I.tif:18266-00819,5.197E-5,195.154,147.817,224.852,-88.568,0.335
8,TIAM_1323-82_A_I.tif:20135-00786,3.747E-5,189.443,129.538,235.006,-86.024,0.242
9,TIAM_1323-82_A_I.tif:21698-00772,3.692E-5,192.045,150.820,231.702,-81.912,0.238
10,TIAM_1323-82_A_I.tif:23750-00832,6.077E-5,192.849,144.324,221.895,-85.643,0.392
11,TIAM_1323-82_A_I.tif:26390-00848,6.495E-5,193.701,157.967,236.209,-86.604,0.419
12,TIAM_1323-82_A_I.tif:28986-00844,5.891E-5,193.683,131.918,231.182,-87.567,0.380
13,TIAM_1323-82_A_I.tif:31866-01024,8.081E-5,193.376,143.663,226.541,-88.363,0.521
14,TIAM_1323-82_A_I.tif:34675-00764,5.387E-5,194.832,153.530,238.417,-90.205,0.347
