 ,Label,Area,Mean,Min,Max,Angle,Length
1,TIAM_17527_D_I.tif:03961-00520,7.692E-6,183.135,146.489,223.718,-78.444,0.050
2,TIAM_17527_D_I.tif:04279-00585,7.956E-6,190.818,159.667,212.883,-81.280,0.051
3,TIAM_17527_D_I.tif:04633-00626,9.038E-6,193.745,134.538,246.831,-80.789,0.058
4,TIAM_17527_D_I.tif:04943-00653,5.961E-6,198.799,161.329,224.439,-81.148,0.038
5,TIAM_17527_D_I.tif:05184-00672,5.625E-6,197.007,167.250,217.636,-80.134,0.036
6,TIAM_17527_D_I.tif:05372-00674,3.149E-6,192.296,170.678,228.000,-79.380,0.020
7,TIAM_17527_D_I.tif:05525-00720,4.495E-6,201.265,178.926,237.103,-78.811,0.029
8,TIAM_17527_D_I.tif:05731-00721,5.144E-6,197.267,174.635,219.615,-80.803,0.033
9,TIAM_17527_D_I.tif:06010-00732,8.197E-6,196.550,150.708,232.597,-81.203,0.053
10,TIAM_17527_D_I.tif:06323-00739,6.802E-6,193.194,158.767,212.060,-79.804,0.044
11,TIAM_17527_D_I.tif:06632-00751,7.836E-6,201.293,172.996,238.432,-80.422,0.050
12,TIAM_17527_D_I.tif:06895-00775,5.096E-6,193.992,167.831,212.322,-77.412,0.033
13,TIAM_17527_D_I.tif:07149-00765,6.418E-6,193.776,163.750,212.109,-80.042,0.041
14,TIAM_17527_D_I.tif:07393-00768,5.240E-6,200.832,175.501,223.669,-80.451,0.034
15,TIAM_17527_D_I.tif:07641-00793,6.658E-6,192.893,156.893,247.783,-77.876,0.043
16,TIAM_17527_D_I.tif:07930-00693,6.370E-6,189.190,171.443,214.885,-79.967,0.041
17,TIAM_17527_D_I.tif:08216-00764,7.764E-6,194.051,163.398,212.890,-78.551,0.050
18,TIAM_17527_D_I.tif:08633-00749,1.207E-5,192.564,148.731,242.383,-77.793,0.078
19,TIAM_17527_D_I.tif:09149-00742,1.180E-5,194.796,158.806,239.993,-77.268,0.076
20,TIAM_17527_D_I.tif:09640-00753,1.115E-5,188.034,165.777,241.411,-77.283,0.072
21,TIAM_17527_D_I.tif:10013-00761,5.913E-6,191.748,165.865,216.399,-76.304,0.038
22,TIAM_17527_D_I.tif:10277-00728,5.913E-6,191.010,159.129,241.650,-75.851,0.038
23,TIAM_17527_D_I.tif:10535-00711,5.384E-6,184.736,146.974,234.123,-73.843,0.035
24,TIAM_17527_D_I.tif:10786-00742,6.442E-6,201.095,179.660,226.330,-77.005,0.041
25,TIAM_17527_D_I.tif:11135-00780,9.831E-6,196.040,168.165,229.262,-76.984,0.063
26,TIAM_17527_D_I.tif:11524-00808,8.245E-6,191.565,164.174,209.667,-75.801,0.053
27,TIAM_17527_D_I.tif:11908-00729,8.365E-6,181.966,145.922,243.133,-78.366,0.054
28,TIAM_17527_D_I.tif:12345-00698,1.132E-5,180.579,136.860,211.741,-77.207,0.073
29,TIAM_17527_D_I.tif:12828-00737,1.183E-5,186.869,158.628,214.857,-78.003,0.076
30,TIAM_17527_D_I.tif:13364-00755,1.312E-5,192.630,159.210,233.005,-77.494,0.084
31,TIAM_17527_D_I.tif:14121-00732,2.315E-5,187.154,157.059,245.230,-79.695,0.149
32,TIAM_17527_D_I.tif:14920-00764,1.406E-5,187.470,161.737,229.544,-76.535,0.091
33,TIAM_17527_D_I.tif:15585-00686,1.425E-5,185.205,154.854,219.614,-77.513,0.092
34,TIAM_17527_D_I.tif:16147-00723,1.163E-5,187.940,164.248,235.972,-74.870,0.075
35,TIAM_17527_D_I.tif:16635-00727,1.038E-5,186.117,136.493,219.437,-75.770,0.067
36,TIAM_17527_D_I.tif:17175-00791,1.507E-5,184.712,155.875,233.425,-75.387,0.097
37,TIAM_17527_D_I.tif:17801-00757,1.226E-5,189.911,156.254,219.533,-74.271,0.079
38,TIAM_17527_D_I.tif:18436-00774,1.707E-5,184.877,149.513,218.781,-77.296,0.110
39,TIAM_17527_D_I.tif:19143-00762,1.510E-5,189.129,141.284,225.439,-76.718,0.097
40,TIAM_17527_D_I.tif:19648-00751,8.413E-6,186.400,157.859,233.874,-80.430,0.054
41,TIAM_17527_D_I.tif:20063-00837,1.238E-5,187.252,158.141,217.289,-81.051,0.080
42,TIAM_17527_D_I.tif:20547-00826,1.050E-5,189.056,152.927,242.023,-80.494,0.068
43,TIAM_17527_D_I.tif:21217-00862,2.197E-5,185.624,162.574,233.356,-85.226,0.142
44,TIAM_17527_D_I.tif:21942-00774,1.214E-5,185.853,151.608,212.016,-88.182,0.078
45,TIAM_17527_D_I.tif:22690-00842,2.404E-5,185.723,155.900,218.860,-85.865,0.155
46,TIAM_17527_D_I.tif:23813-00870,2.961E-5,178.954,150.486,215.242,-87.765,0.191
47,TIAM_17527_D_I.tif:24996-00788,2.279E-5,173.390,136.103,214.648,-71.795,0.147
48,TIAM_17527_D_I.tif:25989-00769,1.846E-5,179.323,149.605,233.645,-67.782,0.119
49,TIAM_17527_D_I.tif:26734-00742,1.344E-5,178.228,155.589,202.294,-69.877,0.087
50,TIAM_17527_D_I.tif:27419-00836,1.853E-5,150.195,106.150,205.388,-70.576,0.119
51,TIAM_17527_D_I.tif:28293-00884,2.065E-5,149.801,106.540,206.322,-72.367,0.133
52,TIAM_17527_D_I.tif:29214-00887,1.947E-5,169.612,136.388,237.696,-71.699,0.125
53,TIAM_17527_D_I.tif:30092-00929,2.050E-5,172.192,148.137,243.533,-73.223,0.132
54,TIAM_17527_D_I.tif:30861-00883,1.332E-5,170.964,144.868,208.627,-75.109,0.086
55,TIAM_17527_D_I.tif:31359-00954,1.041E-5,162.656,137.736,188.444,-75.513,0.067
56,TIAM_17527_D_I.tif:31824-00946,1.096E-5,174.429,139.923,203.654,-77.307,0.071
57,TIAM_17527_D_I.tif:32366-00902,1.317E-5,180.078,149.583,221.944,-78.608,0.085
58,TIAM_17527_D_I.tif:33015-00921,1.723E-5,173.763,137.787,210.026,-77.245,0.111
59,TIAM_17527_D_I.tif:33730-00930,1.577E-5,175.237,152.416,205.428,-77.661,0.102
60,TIAM_17527_D_I.tif:34286-00962,1.041E-5,168.664,143.202,234.867,-78.794,0.067
61,TIAM_17527_D_I.tif:34797-00995,1.421E-5,167.177,143.927,208.399,-80.442,0.092
62,TIAM_17527_D_I.tif:35295-00984,9.447E-6,176.260,150.446,203.565,-80.009,0.061
63,TIAM_17527_D_I.tif:35788-01031,1.430E-5,169.356,149.048,200.516,-72.968,0.092
64,TIAM_17527_D_I.tif:36198-01073,5.721E-6,159.730,147.153,176.116,-70.801,0.037
65,TIAM_17527_D_I.tif:36648-01066,1.423E-5,165.555,130.801,192.667,-71.442,0.092
