 ,Label,Area,Mean,Min,Max,Angle,Length
1,TIAM_17527_D_II.tif:03772-00585,7.259E-6,211.393,169.768,240.359,-93.434,0.047
2,TIAM_17527_D_II.tif:04088-00582,7.836E-6,211.770,185.049,234.218,-94.236,0.050
3,TIAM_17527_D_II.tif:04379-00597,6.322E-6,210.278,194.504,225.911,-90.437,0.041
4,TIAM_17527_D_II.tif:04658-00620,7.043E-6,214.196,188.100,236.215,-92.353,0.045
5,TIAM_17527_D_II.tif:04936-00647,5.889E-6,219.874,191.030,245.000,-91.409,0.038
6,TIAM_17527_D_II.tif:05145-00650,3.942E-6,200.059,183.788,213.430,-95.641,0.025
7,TIAM_17527_D_II.tif:05319-00655,4.495E-6,208.922,191.828,228.634,-93.077,0.029
8,TIAM_17527_D_II.tif:05530-00661,5.312E-6,203.630,186.545,221.030,-92.603,0.034
9,TIAM_17527_D_II.tif:05770-00670,6.466E-6,208.144,186.562,230.607,-92.564,0.042
10,TIAM_17527_D_II.tif:06179-00629,1.324E-5,207.964,178.252,244.000,-91.458,0.085
11,TIAM_17527_D_II.tif:06669-00630,1.055E-5,212.494,181.164,237.047,-92.614,0.068
12,TIAM_17527_D_II.tif:07171-00634,1.344E-5,211.588,176.088,242.781,-90.821,0.087
13,TIAM_17527_D_II.tif:07542-00654,4.158E-6,206.676,179.984,241.070,-92.663,0.027
14,TIAM_17527_D_II.tif:07776-00659,7.235E-6,211.964,163.560,246.220,-91.146,0.047
15,TIAM_17527_D_II.tif:08041-00667,5.264E-6,219.616,196.780,241.609,-91.577,0.034
16,TIAM_17527_D_II.tif:08309-00703,7.379E-6,206.633,187.508,231.142,-89.251,0.047
17,TIAM_17527_D_II.tif:08664-00724,9.639E-6,209.639,179.007,253.960,-89.141,0.062
18,TIAM_17527_D_II.tif:09106-00689,1.166E-5,212.954,176.449,244.545,-89.526,0.075
19,TIAM_17527_D_II.tif:09603-00672,1.228E-5,211.591,173.094,242.556,-90.225,0.079
20,TIAM_17527_D_II.tif:10152-00690,1.406E-5,212.010,178.873,237.393,-90.589,0.091
21,TIAM_17527_D_II.tif:10708-00652,1.272E-5,210.349,177.477,245.183,-91.519,0.082
22,TIAM_17527_D_II.tif:11168-00670,9.158E-6,207.613,180.467,237.625,-90.302,0.059
23,TIAM_17527_D_II.tif:11607-00693,1.199E-5,208.949,179.715,233.502,-90.690,0.077
24,TIAM_17527_D_II.tif:12171-00702,1.507E-5,204.380,175.720,227.270,-90.732,0.097
25,TIAM_17527_D_II.tif:12747-00712,1.248E-5,203.784,166.538,242.063,-91.327,0.080
26,TIAM_17527_D_II.tif:13428-00711,2.005E-5,206.504,182.391,254.860,-92.065,0.129
27,TIAM_17527_D_II.tif:14095-00667,1.219E-5,197.280,169.776,228.302,-91.585,0.078
28,TIAM_17527_D_II.tif:14645-00671,1.404E-5,204.078,174.915,243.278,-93.736,0.090
29,TIAM_17527_D_II.tif:15174-00667,1.159E-5,199.162,160.834,234.652,-94.052,0.075
30,TIAM_17527_D_II.tif:15713-00660,1.433E-5,193.451,161.293,234.111,-93.084,0.092
31,TIAM_17527_D_II.tif:16320-00666,1.464E-5,190.928,164.070,219.285,-90.377,0.094
32,TIAM_17527_D_II.tif:17102-00658,2.267E-5,205.813,171.974,235.956,-93.409,0.146
33,TIAM_17527_D_II.tif:17950-00648,1.803E-5,201.914,180.465,226.343,-92.450,0.116
34,TIAM_17527_D_II.tif:18747-00629,1.981E-5,199.695,160.486,228.383,-93.203,0.128
35,TIAM_17527_D_II.tif:19533-00622,1.760E-5,206.338,177.044,238.375,-92.823,0.113
36,TIAM_17527_D_II.tif:20226-00610,1.601E-5,200.988,162.483,227.635,-92.415,0.103
37,TIAM_17527_D_II.tif:20807-00613,1.192E-5,202.272,179.897,228.118,-93.475,0.077
38,TIAM_17527_D_II.tif:21275-00632,1.046E-5,201.956,104.424,238.204,-91.584,0.067
39,TIAM_17527_D_II.tif:21764-00633,1.332E-5,200.762,173.371,225.172,-93.938,0.086
40,TIAM_17527_D_II.tif:22360-00617,1.553E-5,205.073,163.966,233.464,-92.667,0.100
41,TIAM_17527_D_II.tif:22828-00616,6.947E-6,208.099,180.333,228.417,-92.386,0.045
42,TIAM_17527_D_II.tif:23255-00617,1.344E-5,204.267,174.032,235.656,-91.848,0.087
43,TIAM_17527_D_II.tif:23786-00647,1.195E-5,198.569,177.012,213.683,-92.078,0.077
44,TIAM_17527_D_II.tif:24479-00660,2.151E-5,200.342,158.722,233.368,-91.282,0.139
45,TIAM_17527_D_II.tif:25174-00676,1.180E-5,198.977,173.995,237.505,-95.152,0.076
46,TIAM_17527_D_II.tif:25923-00642,2.413E-5,196.875,167.316,227.700,-92.971,0.156
47,TIAM_17527_D_II.tif:26953-00628,2.529E-5,199.643,169.320,229.120,-91.964,0.163
48,TIAM_17527_D_II.tif:28020-00620,2.598E-5,203.918,169.267,231.649,-90.849,0.167
49,TIAM_17527_D_II.tif:28990-00694,2.053E-5,200.146,171.832,232.598,-92.420,0.132
50,TIAM_17527_D_II.tif:29658-00684,1.149E-5,207.718,178.797,228.019,-94.325,0.074
51,TIAM_17527_D_II.tif:30362-00695,2.219E-5,195.301,157.090,223.518,-94.103,0.143
52,TIAM_17527_D_II.tif:31390-00698,2.704E-5,176.922,120.667,214.354,-91.427,0.174
