 ,Label,Area,Mean,Min,Max,Angle,Length
1,TIAM_17538_A_II.tif:04098-00639,2.259E-5,226.378,201.164,249.559,-94.764,0.146
2,TIAM_17538_A_II.tif:04887-00605,1.495E-5,216.587,166.119,250.485,-95.270,0.096
3,TIAM_17538_A_II.tif:05343-00623,6.562E-6,218.858,202.417,245.858,-96.968,0.042
4,TIAM_17538_A_II.tif:05555-00621,3.606E-6,216.836,206.356,227.356,-99.273,0.023
5,TIAM_17538_A_II.tif:05813-00665,8.413E-6,215.149,192.452,237.610,-98.409,0.054
6,TIAM_17538_A_II.tif:06180-00650,9.374E-6,219.519,174.392,236.905,-99.317,0.060
7,TIAM_17538_A_II.tif:06516-00617,7.091E-6,216.450,197.966,244.194,-101.195,0.046
8,TIAM_17538_A_II.tif:06720-00614,2.380E-6,220.120,206.036,228.492,-102.339,0.015
9,TIAM_17538_A_II.tif:06816-00623,2.043E-6,216.493,190.607,238.500,-96.116,0.013
10,TIAM_17538_A_II.tif:06942-00629,3.822E-6,219.582,181.488,240.932,-99.819,0.025
11,TIAM_17538_A_II.tif:07176-00615,7.451E-6,213.428,192.675,232.484,-98.366,0.048
12,TIAM_17538_A_II.tif:07590-00607,1.211E-5,203.798,150.648,235.264,-98.227,0.078
13,TIAM_17538_A_II.tif:07970-00568,5.961E-6,214.226,201.893,236.023,-99.806,0.038
14,TIAM_17538_A_II.tif:08160-00567,3.389E-6,211.786,187.570,227.043,-98.653,0.022
15,TIAM_17538_A_II.tif:08285-00570,1.971E-6,212.919,196.222,233.778,-96.340,0.013
16,TIAM_17538_A_II.tif:08381-00588,2.259E-6,209.309,191.333,236.839,-95.528,0.014
17,TIAM_17538_A_II.tif:08492-00606,2.860E-6,210.798,188.009,236.931,-97.306,0.018
18,TIAM_17538_A_II.tif:08657-00613,4.615E-6,209.409,181.689,229.052,-99.019,0.030
19,TIAM_17538_A_II.tif:08790-00612,1.659E-6,206.308,191.567,230.764,-102.804,0.010
20,TIAM_17538_A_II.tif:08942-00614,5.480E-6,206.664,174.654,236.759,-96.843,0.035
21,TIAM_17538_A_II.tif:09111-00618,2.524E-6,209.645,189.451,231.891,-100.008,0.016
22,TIAM_17538_A_II.tif:09281-00617,5.480E-6,214.329,176.551,235.964,-98.344,0.035
23,TIAM_17538_A_II.tif:09486-00612,4.086E-6,206.492,182.333,230.766,-96.116,0.026
24,TIAM_17538_A_II.tif:09607-00608,1.755E-6,204.508,186.185,227.556,-98.017,0.011
25,TIAM_17538_A_II.tif:09659-00611,6.971E-7,201.000,178.667,208.000,-90.000,0.004
26,TIAM_17538_A_II.tif:09714-00618,1.875E-6,212.479,193.775,231.290,-93.715,0.012
27,TIAM_17538_A_II.tif:09776-00625,1.178E-6,204.778,168.944,233.764,-91.193,0.007
28,TIAM_17538_A_II.tif:09842-00608,2.019E-6,201.485,175.124,217.333,-93.447,0.013
29,TIAM_17538_A_II.tif:09944-00614,2.836E-6,211.753,190.632,230.009,-88.042,0.018
30,TIAM_17538_A_II.tif:10139-00591,6.562E-6,201.467,169.490,228.642,-89.579,0.042
31,TIAM_17538_A_II.tif:10534-00595,1.240E-5,205.681,177.205,243.062,-94.117,0.080
32,TIAM_17538_A_II.tif:11249-00612,2.197E-5,208.366,174.247,238.390,-92.825,0.142
